symbol,levels,resistances,avg_vol_20d
IDEA.NS,13.80;12.68,9.73;14.31;14.33;14.85;15.16;15.25;15.34;15.37;15.79,394021252.5
IDFCFIRSTB.NS,66.43;77.41;78.83;83.58,68.80;71.15;71.45;73.08;79.09;81.46;81.77;82.70;86.50;86.67;86.94;87.40;88.10;88.76,20091365.1
IEX.NS,124.18;121.58;116.44,115.56;121.63;126.22;126.80;128.65;129.69;129.70;129.80;134.76;136.80;137.34,3365344.65
IFCI.NS,60.70;73.01,64.17;66.25;78.56;79.20;79.64;83.44;84.19;95.80;107.50,129524558.75
IGIL.NS,343.07;352.02;335.02,337.90;349.50;353.25;357.70;362.25;362.55;369.90;369.95;371.40;373.60;378.00;384.95;388.30,511588.1
IGL.NS,161.04;149.76;146.90,152.39;154.70;155.50;156.73;157.68;158.70;159.50;169.20;169.90;171.25;171.73;171.84;173.29;175.60,1692272.5
IIFL.NS,440.45;485.85;514.70;616.20,473.50;480.85;483.80;493.20;500.00;534.90;544.40;546.15;587.70;623.00;641.65;675.80;705.00,2627555.65
IKS.NS,1621.90;1678.25;1723.80,1573.80;1698.00;1740.00;1758.00;1764.90;1849.00;1876.20;1907.40;1915.60;1933.00,214697.2
INDGN.NS,481.03;502.44;555.52,504.95;506.40;523.05;534.00;535.00;536.45;546.15;550.35;554.00;567.80;576.75;583.60;611.70;615.50,635699.6
INDIACEM.NS,387.18;373.90;365.54,359.40;379.50;387.00;391.35;399.15;401.05;401.70;410.50;416.40;417.00;469.90,175955.95
INDIAMART.NS,1958.05;1733.43;1623.25,1768.80;1775.00;1815.00;1825.00;1945.00;1978.90;2022.30;2047.00;2122.20;2175.00;2199.00,110690.2
INDIANB.NS,811.15;863.40,841.30;849.90;853.95;867.85;874.90;875.00;878.00;884.95;903.80;905.00;906.70,963612.7
INDUSINDBK.NS,875.60;993.48,928.00;940.20;950.55;953.50;957.90;1017.90;1022.00;1026.60;1038.00;1077.85,2005661.65
INDUSTOWER.NS,394.32;408.77;377.67;370.61,383.75;388.55;389.40;390.85;398.30;414.90;421.85;426.50;437.00;439.40;449.40,3986898.9
INOXWIND.NS,81.18;88.10;72.68,77.85;78.59;78.89;81.14;91.47;93.30;94.70;99.15;105.30;108.27,11930343.35
INTELLECT.NS,663.62;680.72;711.17;733.85,696.60;703.05;716.45;726.35;732.00;755.20;760.20;764.40;767.40;770.90;779.00;783.90;790.95;796.35;798.25;834.40,320744.5
IOB.NS,34.58;33.15;32.35;33.65;31.89,33.30;33.53;33.64;34.06;34.07;34.70;34.94;35.00;35.50;35.55;36.20;36.39;36.53,1815675.8
IPCALAB.NS,1512.53;1731.40;1906.45,1590.00;1610.50;1618.70;1670.00;1678.30;1785.00;1808.00;1812.50;1944.90;1945.10;1992.00;1996.90;2001.50;2038.00,218660.45
IRB.NS,21.43;19.77;20.90;19.16;18.80,20.04;20.60;21.04;21.52;21.78;21.96;21.99;22.09;22.27;22.53;23.95,18973287.1
IRCON.NS,149.29;130.67;122.49,128.00;133.82;134.55;137.47;139.15;142.90;144.57;156.66;159.45;159.68;164.40,1535195.05
IRCTC.NS,537.68;503.12;482.43,480.00;492.50;510.45;513.90;526.75;527.00;531.70;535.00;547.65;570.05;581.30,631320.1
IREDA.NS,124.23;117.79;112.90,114.32;114.75;121.14;121.83;123.90;125.67;130.60;132.39;133.19;135.50;137.45;142.85,3087716.15
ITCHOTELS.NS,156.83;149.62,157.00;159.80;164.50;166.45;167.50;167.79;170.25;173.00;184.20;188.00,1611536.6
ITI.NS,294.79;280.60;288.12;272.75,276.60;295.90;296.25;302.40;308.40;310.45;310.80;312.34;313.65;319.90;325.85,140513.75
J&KBANK.NS,125.21;146.61;143.41,135.00;135.68;145.00;150.57;152.80;153.87;164.30;167.15;182.29;192.00;201.75,1808418.7
JAINREC.NS,335.55;320.88;271.77,293.70;302.55;307.00;307.50;346.45;349.50;363.00;366.35;379.80;383.05;411.00;427.75;587.85;593.95,1980026.25
JBMA.NS,611.28;645.38,633.45;643.80;655.00;681.90;685.00;689.00;707.50;711.20;718.60;719.85;738.50,259997.2
JINDALSAW.NS,220.32;247.87,249.45;249.79;265.65;267.50;269.91;278.95;281.00;296.55;319.50;320.00,1823359.1
JKCEMENT.NS,5225.00;5311.75;4673.75;4951.00,5170.00;5310.00;5560.00;5566.00;5621.00;5628.00;5730.00;5740.00;5760.00;5790.00;6020.00,42777.45
JKTYRE.NS,394.57;379.43;388.00,386.85;417.55;419.80;422.00;422.65;423.95;424.50;424.60;441.50,394785.95
JMFINANCIL.NS,132.96;125.36;114.75;121.96;118.19,127.48;128.50;130.60;131.65;132.39;133.23;133.50;136.30;136.90;138.61;143.82;147.20,2351081.15
JPPOWER.NS,18.60;17.10;17.62;16.69,17.14;17.47;17.49;18.25;18.40;18.88;18.90;19.28;20.38;20.62;21.05;24.50,67400380.8
JSL.NS,719.03;694.23,709.80;711.50;732.40;741.50;753.00;755.00;756.00;759.25;789.35;794.00;801.80,1173738.95
JSWCEMENT.NS,122.78;119.67;129.04,119.75;126.36;128.28;136.40;136.90;137.83;138.50;142.50;143.40,1340476.75
JSWDULUX.NS,2865.80;3059.22;3160.05,2980.00;3033.40;3041.00;3049.00;3070.00;3112.50;3195.00;3214.00;3238.50;3249.80;3329.90;3376.20,24330.05
JSWENERGY.NS,537.27;506.55,541.70;545.80;553.70;564.00;572.85;578.90;583.40;585.65;586.35;592.00;617.35,1905170.45
JSWINFRA.NS,265.62;310.95;330.20;322.23,282.40;284.75;288.73;295.80;335.25;343.45;348.00;351.50;355.00;355.80;375.50,4410817.6
JUBLFOOD.NS,419.15;412.10,434.00;438.70;457.40;478.00;498.75;503.60;521.00;527.85,916025.35
JUBLINGREA.NS,659.33;698.45;613.50;715.38,638.15;657.00;659.90;701.05;748.80;750.75;752.50;764.70;769.50;769.70;795.00,270661.65
JUBLPHARMA.NS,913.55;966.79;951.70,928.15;959.35;989.95;995.00;995.40;997.50;999.75;1004.70;1030.00;1031.70;1042.00;1091.85,265746.85
JWL.NS,278.78;262.00,253.95;263.30;268.95;270.00;272.35;286.00;286.50;294.24;295.93;308.50;308.60,628179.8
JYOTICNC.NS,742.33;773.83,719.60;777.70;782.85;787.25;795.10;827.00;874.75;1048.00;1058.85;1134.60,1281768.25
KAJARIACER.NS,1052.97;1170.67;1188.67,1125.00;1125.60;1232.90;1238.40;1246.80;1252.00;1254.50;1271.50;1274.50;1275.00,184958.0
KALYANKJIL.NS,403.57;337.55;560.07;586.52,360.25;365.90;374.25;386.70;387.25;395.45;420.60;428.80;620.35;621.80;630.00;635.95;648.95,6624829.9
KARURVYSYA.NS,274.23;289.06;328.43;320.38,296.80;301.00;301.65;302.00;312.00;322.00;340.00;347.90;351.80;358.00;358.65,1434024.75
KAYNES.NS,3006.55;3091.10,3249.10;3386.00;3399.00;3418.10;3474.30;3478.40;3674.00;3734.80;3963.20;4117.90;4476.20;4538.60,1008208.7
KEC.NS,555.18;463.15;482.68;397.38;389.82,417.90;429.60;441.40;487.80;509.50;511.30;516.70;551.00;594.00;617.00,1047903.1
KEI.NS,4751.90;4842.05;5087.25,4996.90;5233.00;5245.00;5247.80;5398.00;5476.30;5708.00;5740.30;5899.00,636121.6
KFINTECH.NS,856.15;835.33;871.10;911.77,873.80;876.90;894.80;928.00;930.00;938.10;961.25;981.05;982.50;992.40;1006.00,518022.85
KIMS.NS,757.55;784.96,691.90;781.65;785.85;789.90;791.15;811.00;818.00;819.00;826.65;826.80;827.95;858.00,456050.45
KIRLOSENG.NS,2121.20;2011.55,1687.50;1765.00;1775.00;1990.80;2177.00;2289.00;2298.00;2300.50;2317.10;2572.00;2720.00,419326.05
KPIL.NS,1236.78;1334.93;1276.15;1380.10,1275.00;1282.40;1310.00;1322.70;1327.00;1329.00;1335.00;1350.90;1427.90;1452.70;1460.60;1468.00;1479.60,143660.3
KPITTECH.NS,690.30;714.65;544.52;576.25,578.90;580.95;613.45;640.70;662.65;762.80;770.95;774.00;795.30;797.50;826.00,1413788.25
KPRMILL.NS,913.70;1018.97;1106.92;1084.55,934.00;946.50;975.95;989.15;1123.00;1152.80;1154.40;1167.50;1174.00;1197.90;1208.70;1231.00;1334.00,243715.15
LALPATHLAB.NS,1599.05;1658.55;1865.27,1469.00;1640.60;1698.00;1698.60;1718.00;1719.90;1784.00;1803.00;1955.10;1962.00;1963.00;1988.90;2038.60,302726.35
LATENTVIEW.NS,286.49,264.80;284.60;292.00;302.80;314.80;314.90;322.10;323.65;324.80;335.40;340.85,550336.35
LAURUSLABS.NS,1349.65,1137.20;1144.85;1457.00;1531.20;1555.00;1579.10;1870.80;1949.00;1981.80,3171736.0
LEMONTREE.NS,115.78;107.11;109.16;104.10,107.49;108.87;110.50;112.90;113.90;115.68;121.45;121.98;122.65;122.90;128.38,2258280.65
LENSKART.NS,494.53,525.65;532.50;549.70;563.00;575.70;673.90;703.50;725.00,13935047.4
LGEINDIA.NS,1532.20;1481.63,1548.90;1555.70;1574.00;1582.00;1593.00;1609.90;1661.60;1680.00;1705.20;1727.10;1755.00,462753.2
LICHSGFIN.NS,532.26;524.40,509.00;511.45;543.40;552.75;556.90;563.00;564.95;567.70;568.50;568.55;570.75;572.35;579.40;598.20,3380775.85
LICI.NS,402.30;387.99;420.80,407.70;407.85;407.88;413.30;417.00;419.60;428.15;428.17;428.55;428.90;431.30;440.00;447.60;450.20,6157624.7
LINDEINDIA.NS,7004.50;7153.25;6630.62,6490.50;6870.50;7179.00;7251.00;7319.50;7439.00;7464.00;7485.00;7570.00;7638.00;8049.00,20865.6
LLOYDSME.NS,1698.77;1866.30;1753.55,1790.00;1797.10;1814.00;1826.00;1846.00;1848.00;1859.40;1888.60;2100.00;2125.00,315137.35
LTF.NS,307.35;295.32;303.60,277.25;289.40;297.30;300.83;305.20;314.30;320.50;326.75;327.00;327.30;333.50;338.60,5230643.45
LTFOODS.NS,412.18;394.12;375.43;366.10,391.85;392.00;393.80;396.00;415.75;432.15;439.90;466.80;490.70,464762.95
LTTS.NS,3384.50;3446.60;3284.00,3441.00;3448.00;3504.80;3596.60;3665.50;3667.90;3675.00;3680.00;3708.00;3723.20;3847.90,78246.1
LUPIN.NS,2246.22;2215.20,2237.90;2301.40;2306.30;2309.60;2381.00;2474.80;2494.00;2526.90;2529.50,649939.95
M&MFIN.NS,291.00,297.10;304.05;310.00;314.95;331.00;332.40;340.50;341.00;347.00;381.45;384.50;389.40;397.50;409.75;415.00,1635900.4
MAHABANK.NS,75.97;77.48;79.45,81.05;82.15;82.19;82.20;82.29;83.10;85.90;87.00;87.46;87.50;91.20;94.50,14300610.8
MANAPPURAM.NS,293.90;308.42,299.75;302.45;318.20;330.90;332.25;334.00;335.10;346.45;347.90;372.55;373.05;381.55,3550731.65
MANKIND.NS,2227.03;2348.43;2479.03,2322.20;2419.00;2423.90;2458.00;2468.80;2485.00;2510.00;2570.80;2604.00;2638.60;2639.00;2642.00,375225.55
MAPMYINDIA.NS,920.00;806.50;979.65;952.65,866.80;934.85;979.40;1021.10;1033.00;1126.90;1222.35;1231.95,221161.1
MARICO.NS,806.12;794.03;838.77,794.00;826.55;831.00;832.95;845.00;845.85;847.75;848.80;862.15;863.90;867.35;873.00;889.10,1704661.45
MCX.NS,2748.93;2571.50,2777.90;2903.00;2909.90;2931.90;2942.10;3038.00;3398.00;3400.00;3480.00,1864358.95
MEDANTA.NS,1159.15;1300.45;1384.37,1248.90;1256.20;1266.50;1278.00;1335.90;1358.00;1369.70;1447.00;1475.80;1487.90;1491.00;1527.00;1544.00,258691.65
MEESHO.NS,172.55;180.11,174.86;193.20;195.48;195.90;195.92;197.60;201.99;212.65;223.10;227.65;244.74,23910835.65
MFSL.NS,1559.72;1541.00;1482.10,1548.50;1569.00;1591.80;1604.90;1634.00;1634.10;1662.00;1713.60;1718.80;1722.40;1748.00,558395.1
MGL.NS,1113.02;1030.35;1054.08;1075.75,1107.90;1109.00;1121.00;1137.90;1159.20;1173.20;1177.60;1179.00;1190.70;1211.20;1252.00,146020.1
MINDACORP.NS,509.82;678.30;703.62;690.05,542.80;551.75;663.00;679.85;711.50;713.65;735.90;769.00,174550.15
MMTC.NS,63.20;60.14;61.48,66.20;67.23;67.44;67.58;69.34;69.82;71.28;71.64;78.35,1296182.05
MOTILALOFS.NS,772.12;816.67;837.50,835.50;874.00;902.50;909.00;961.90;980.45;981.45;989.75;1053.00;1060.20,720309.3
MPHASIS.NS,2133.70;2243.65;2193.20;2385.15,2271.10;2349.20;2361.80;2364.00;2403.00;2422.30;2430.50;2458.60;2461.10;2472.00;2479.00;2523.00;2556.90,389707.2
MRF.NS,129076.67;124432.50;122025.00;130850.00,125950.00;129390.00;129500.00;129600.00;131795.00;132885.00;133950.00;134490.00;135550.00;135755.00;135800.00;138990.00;140795.00,3674.05
MRPL.NS,143.64;160.10;169.07,153.59;169.90;171.25;176.30;179.99;183.00;189.00;191.90;194.85,9437399.8
MSUMI.NS,38.67;36.35;39.41,36.60;37.05;38.60;38.63;40.59;40.72;41.63;41.94;42.00;42.19;42.22;42.35;43.44,9884706.55
NAM-INDIA.NS,1033.45;1136.03;1153.57,1064.45;1065.00;1117.90;1122.00;1125.00;1144.40;1194.00;1194.40;1196.00;1215.00;1232.80;1233.50;1269.50,1262529.45
NATCOPHARM.NS,,947.85;951.50;964.85;987.55;997.30;1116.80;1130.00;1192.50;1202.00;1226.80,392255.4
NATIONALUM.NS,390.58;331.63;349.10,351.00;368.50;379.70;386.00;387.60;405.00;420.70;420.95;422.20;440.00;444.50;445.15,4587132.95
NAUKRI.NS,976.62;954.35;911.55;1322.05,996.00;1022.35;1029.00;1047.80;1080.90;1223.50;1229.10;1268.90;1310.00;1371.70;1390.10;1391.00,1363204.3
NAVA.NS,652.27;590.35;548.39,571.75;580.00;583.25;586.40;598.50;600.45;628.20;638.00;639.80;725.00;736.80;739.40,209890.2
NAVINFLUOR.NS,6835.17;7427.67;8100.00,6600.00;7120.00;7200.00;7525.00;7785.50;7810.00;7936.00;8451.00;8682.50;8740.00;8775.50;8949.50,123744.75
NBCC.NS,91.45;93.71,87.35;90.50;94.88;96.50;96.96;98.70;101.95;102.47;107.73;114.29,4189255.6
NCC.NS,141.55;133.85,139.42;143.00;145.81;149.45;152.80;153.33;153.86;154.93;161.08;166.82;168.64;171.77,1945682.1
NETWEB.NS,3760.00;4387.00;4132.43,4044.00;4117.00;4174.80;4492.00;4495.00;4965.00;5244.00;5424.00;5813.00,1219216.3
NEULANDLAB.NS,16617.50;18127.50;22526.00,15491.00;17399.00;17572.00;17684.00;18305.00;18730.00;20089.00;23500.00;23876.00;23881.00;24225.00,39653.0
NEWGEN.NS,463.31;484.68;451.72;433.95;521.07,489.00;491.00;492.00;514.00;514.90;528.60;534.00;538.00;543.95;547.30;575.25;575.90;585.50;607.00,1255151.6
NH.NS,1848.95;1954.50,1838.00;1904.40;1940.00;1949.60;1968.00;1988.00;2002.30;2047.50;2049.50;2092.90,174107.9
NHPC.NS,75.45;77.83;71.72,77.21;77.30;77.89;78.10;80.49;81.69;82.10;82.50;82.80;83.00;85.78;86.83,10134962.05
NIACL.NS,145.96;175.86;182.26,166.32;169.60;170.98;175.00;178.95;187.10;189.00;189.37;194.34;201.24;218.00;242.60,14009361.15
NIVABUPA.NS,78.48;80.39;84.15,81.81;81.90;82.03;83.85;83.90;84.20;84.50;85.25;86.46;87.76;88.40;89.00;89.66;89.77;91.40,687902.35
NLCINDIA.NS,292.28;306.42;264.67,269.80;276.80;281.35;282.30;304.20;307.70;315.40;318.55;328.90;329.10;362.00;387.80,1491513.0
NMDC.NS,86.84;83.42;82.24,86.05;86.12;86.45;86.93;87.19;89.10;89.25;90.17;91.97;92.77;94.25;97.49,10622455.35
NSLNISP.NS,40.50;42.06,42.91;43.54;44.24;44.97;45.14;45.40;46.00;46.19;49.40;53.75,5007808.8
NTPCGREEN.NS,97.58;94.25;91.45,93.29;93.85;96.25;96.98;99.60;106.90;112.70;119.95,2751413.45
NUVAMA.NS,,1392.00;1415.00;1595.00;1647.90;1739.00;1779.00;1903.90;1955.00;1993.70;2066.00,273812.8
NUVOCO.NS,309.02;300.78,300.60;323.75;326.65;329.85;340.00;354.80;357.60;365.75;368.50;398.00,388324.95
NYKAA.NS,258.84;320.24,270.40;271.90;272.50;276.90;279.25;285.60;309.75;332.15;332.95;335.00;346.15;348.00;349.55,3647725.9
OBEROIRLTY.NS,1674.27;1573.05;1826.67;1774.80,1713.00;1715.00;1720.00;1744.00;1754.00;1861.10;1932.80;1947.90;1960.70;1986.10,444435.8
OFSS.NS,9088.75;10831.00;11336.50,9898.00;9999.00;10584.50;11360.00;11695.00;11920.00;11958.00;11968.00;11979.00;12099.00;12540.00,230184.55
OIL.NS,462.03;481.23;435.43,425.00;433.95;442.30;459.40;465.00;484.00;487.20;495.40;500.00;504.30;514.45;531.00,2293669.35
OLAELEC.NS,36.08;37.06,37.73;37.81;38.14;40.51;41.75;42.00;42.25;42.60;44.18;46.00;49.05,93906563.1
OLECTRA.NS,1184.85;1160.70;1288.35,1243.90;1249.00;1255.85;1307.00;1369.60;1393.00;1397.90;1421.00;1552.90;1556.00,361541.35
ONESOURCE.NS,1580.20;1519.65;1506.40,1551.00;1643.00;1645.70;1647.00;1657.50;1667.00;1693.90;1720.00;1740.00;1755.20;1870.00;1888.40;1895.00;1917.80,348609.75
PAGEIND.NS,36408.33;35013.33;39367.50,36215.00;36540.00;37740.00;38500.00;40490.00;40980.00;41590.00;41905.00;43855.00,18818.8
PARADEEP.NS,120.86;132.60;144.59,131.48;131.99;133.40;138.48;140.40;147.60;149.20;152.70;153.40;157.79;159.50;166.50;168.00,2613847.35
PATANJALI.NS,455.27;409.42;329.50;343.77;335.95,358.60;362.90;365.60;417.50;435.05;463.75;475.85;477.65,5175846.45
PAYTM.NS,1057.65;1078.20;1546.30,1133.70;1172.00;1181.00;1223.00;1407.00;1657.60;1732.30;1855.50,3973382.5
PCBL.NS,279.07;309.12;314.97,298.00;303.65;312.55;313.00;323.50;327.50;327.60;328.20;333.85;335.90;338.00;346.00;374.00,1673813.1
PERSISTENT.NS,4736.53;4589.50;4945.05;5380.25,4976.50;5105.00;5173.30;5187.70;5257.00;5299.90;5605.40;5612.00;5618.50;5698.00;5725.00;5759.00;5910.00,471271.3
PETRONET.NS,270.43;260.68,280.55;282.50;282.80;284.25;285.00;286.80;287.40;292.60;294.10;296.80;300.60,1421662.75
PFIZER.NS,4638.67;4511.80;4408.20,4569.70;4708.10;4770.00;4905.00;4934.60;5030.00;5035.40;5045.00;5149.00,51193.8
PFOCUS.NS,279.30;222.30;229.79,247.40;248.90;252.19;264.00;297.50;308.40;311.00;314.60;318.30;324.90;367.00,2340747.75
PGEL.NS,516.02;454.30,493.90;496.35;549.75;571.60;577.95;579.00;594.50;604.70;631.00;643.95,815103.45
PHOENIXLTD.NS,1738.45;1681.50;1842.70;1873.65,1819.30;1834.90;1842.60;1855.90;1950.00;1959.60;1969.00;1971.00;2169.80,382016.2
PIIND.NS,2994.37;2681.70;2539.90;2457.80,2509.00;2536.50;2545.00;2685.00;2773.30;2845.00;2874.00;2921.90;3134.70;3180.00;3182.00;3194.10,267034.45
PINELABS.NS,192.36;139.74;155.66,156.10;156.25;156.65;161.91;163.99;164.40;171.80;173.10;204.95;206.38;207.50;207.95;214.17,48104418.25
PIRAMALFIN.NS,1872.70;1988.83;2086.95;2165.95,1995.00;2031.00;2044.80;2073.20;2091.00;2158.40;2175.00;2218.90;2220.00;2324.00;2324.50;2326.40,403815.35
PNBHOUSING.NS,1030.57;955.55;1047.30;1129.03,1027.70;1031.90;1068.50;1079.90;1086.70;1095.80;1105.00;1132.70;1154.60;1174.80;1189.60;1195.00;1207.00;1211.50,900397.2
POLICYBZR.NS,1586.80;1541.25,1622.00;1705.00;1711.30;1728.60;1735.00;1845.50;1847.00;1875.00,3879071.6
POLYCAB.NS,7933.75;8837.00;9364.50;9013.00;8123.50,8305.00;9169.50;9199.50;9395.00;9445.00;9632.50;9747.00;9833.00;10008.00;10126.00,374287.55
POLYMED.NS,1430.60;1306.50;1608.35;1685.07,1511.30;1634.20;1710.00;1723.00;1749.00;1753.00;1774.90;1775.00;1777.00;1858.00;1913.70,145231.7
POONAWALLA.NS,454.30,403.30;407.00;433.40;436.00;442.65;468.30;476.35;480.90;486.00;486.25;489.00;492.00;494.00;506.00;511.90,1114741.25
POWERINDIA.NS,31211.67;33045.00;30473.33,32700.00;32750.00;34215.00;35095.00;35515.00;36590.00;36750.00;37335.00;37440.00;38785.00,83802.15
PPLPHARMA.NS,157.12;170.40;165.27;199.48,170.85;171.65;175.88;180.72;185.79;196.44;216.70;218.50;220.00;220.36;231.93,3925222.95
PREMIERENE.NS,953.88;990.00;1027.52;1010.05,920.00;1029.60;1047.00;1050.80;1054.40;1063.00;1072.40;1087.50;1103.90;1134.00,1056555.2
PRESTIGE.NS,1304.45;1624.05,1409.50;1423.60;1434.00;1514.70;1580.60;1643.50;1646.60;1651.30;1702.40;1712.20;1718.50;1741.50,453404.85
PTCIL.NS,15662.33;17418.67;16886.00,16350.00;16369.00;17288.00;17400.00;17750.00;18096.00;18145.00;18599.00;19345.00;19520.00;19851.00;20750.00;21800.00;24125.00,36410.4
PVRINOX.NS,932.68;954.83;973.70;1127.85,999.50;1003.45;1005.10;1019.00;1032.30;1099.00;1110.00;1163.00;1194.20;1254.00;1284.50;1357.80,699332.7
PWL.NS,105.77;113.19,111.87;112.14;113.31;117.95;118.90;128.37;129.88;130.70;131.42;133.50;137.70;159.43,12324408.85
RADICO.NS,3418.60;4025.10,3436.00;3482.00;3649.00;3679.00;4161.80;4193.00;4494.40;4559.80;4590.30;4747.00,237271.35
RAILTEL.NS,314.24;305.60;281.22,283.10;294.70;296.55;297.60;313.35;320.50;325.40;329.35;330.50;338.76;351.95;353.90,473762.65
RAINBOW.NS,1232.00;1314.00;1401.63;1422.17,1321.00;1335.00;1366.90;1395.00;1469.20;1487.60;1495.00;1505.00;1508.00;1511.70;1610.00,90268.6
RAMCOCEM.NS,904.44;873.20;847.89,891.00;894.00;898.00;920.00;938.00;944.00;949.00;953.00;962.35;970.00;989.30;1024.45,226668.2
RBLBANK.NS,375.70,339.50;345.65;349.90;353.00;375.15;381.70;382.35;392.70;394.50;420.40,3826071.95
REDINGTON.NS,209.10;267.65,226.45;228.25;228.30;242.50;250.88;288.20;290.46;291.17;360.55;364.50;370.80;378.50;403.25,6030135.5
RHIM.NS,398.57;381.70;370.00;357.81,377.80;381.95;387.55;391.90;404.95;414.75;419.35;420.90;421.45;423.20;426.70;427.30;433.00;443.80,1008365.8
RITES.NS,215.17;210.33;200.45,209.20;211.20;215.40;216.94;217.94;222.99;225.00;226.35;230.85;234.90;241.30;244.59,316307.05
RKFORGE.NS,526.35;551.98,570.00;584.40;584.50;587.50;594.90;596.45;607.00;617.75;629.90;632.00;737.80;741.00;763.50;767.25;772.80,587534.15
RPOWER.NS,26.15;24.15;23.15,21.82;22.90;23.80;25.30;25.40;25.51;28.04;28.75;28.94;29.40;29.52;30.80,17169711.8
RRKABEL.NS,2337.97,1520.00;2049.00;2239.80;2415.00;2549.00;2775.00;2815.00;2980.00;2983.80,567184.05
RVNL.NS,234.08;221.63,214.29;216.45;231.38;236.76;236.89;241.19;251.38;275.85;310.00;311.30;311.45;311.85,4368725.0
SAGILITY.NS,40.76;40.17;38.83,40.72;41.14;42.30;42.99;43.48;43.49;43.60;45.40;46.24;46.62;46.70;47.49,15074916.5
SAIL.NS,165.18;160.92;158.37,172.27;175.90;176.89;180.11;187.87;189.10;190.50;200.96;208.45;209.70,15888688.4
SAILIFE.NS,946.65;1188.15;1414.65,1139.40;1175.60;1184.80;1244.20;1249.00;1260.00;1300.00;1475.00;1485.00;1697.00,895358.7
SAMMAANCAP.NS,138.60;166.89;159.74;144.43,146.29;153.00;157.80;161.00;168.50;169.36;182.90;183.18;192.34,4850971.65
SAPPHIRE.NS,171.11;178.01,183.91;186.09;187.04;187.06;189.24;190.00;193.90;205.06;212.70;240.27;241.90;258.78,731069.25
SARDAEN.NS,511.15;505.07;490.55,512.70;521.40;535.40;537.25;538.00;542.50;555.00;558.00;578.80;604.00;605.85;624.00,597266.75
SAREGAMA.NS,338.45;473.53,351.00;365.00;375.00;443.00;471.55;477.50;485.00;489.95;503.00;509.90;516.50;519.80;574.50,365941.05
SBFC.NS,89.71;88.29;91.53;96.53,94.50;94.55;94.64;94.99;95.00;95.75;97.00;97.45;101.19;103.22;103.37;104.39,1525692.6
SBICARD.NS,611.42;583.55,611.95;638.70;638.80;658.00;660.00;666.75;668.45;674.20;675.00;700.40,2956220.3
SCHAEFFLER.NS,4012.53;3879.15;3814.60,4025.50;4084.00;4143.00;4144.90;4202.60;4210.00;4213.20;4219.00;4235.00;4249.00;4260.00;4297.00;4429.00;4445.00,47872.0
SCHNEIDER.NS,1176.00;1068.60;1142.45,1194.10;1235.70;1237.00;1246.00;1370.00;1376.50;1391.00;1417.80;1449.00;1468.80;1548.00,228622.1
SCI.NS,284.33;275.28;261.50,286.90;287.10;296.00;300.20;300.25;303.70;320.00;321.05;322.80;324.00;330.00;351.70;368.75,1794516.15
SHYAMMETL.NS,959.68;1012.50,880.00;908.60;934.90;979.05;992.00;1002.85;1004.80;1014.00;1044.80;1090.00;1111.00,494684.85
SIGNATURE.NS,796.71;751.59;777.27,793.30;807.35;809.90;815.95;835.90;836.00;838.00;843.05;874.00;886.85;898.00;910.00;928.00,247169.05
SJVN.NS,70.58;67.09;63.50,66.79;68.33;70.43;74.58;75.49;77.80;79.45;83.00,2129079.0
SOBHA.NS,1361.60;1266.50;1331.85,1260.00;1276.60;1390.00;1429.80;1449.90;1462.50;1550.30;1559.50;1577.00,78057.05
SONACOMS.NS,561.52;586.45;793.33,596.95;605.60;614.00;621.80;632.20;682.20;741.65;813.15;824.60;836.90;844.00,1784747.05
SONATSOFTW.NS,254.11;261.50;271.15,269.04;278.40;291.40;291.95;292.40;294.00;307.90;313.95;324.90;329.50;359.50,1163817.75
SPLPETRO.NS,677.63;661.00;692.05,703.95;710.95;724.90;736.00;736.60;743.50;752.00;783.80;788.00;843.80;847.00,423375.95
SRF.NS,2448.25;2582.18;2650.40;2703.80;2546.75,2525.00;2569.90;2604.00;2627.00;2644.70;2648.00;2663.00;2776.40;2777.00;2784.00;2832.10;2859.50;2970.00,200128.6
STARHEALTH.NS,516.17;570.47;550.15,532.35;535.00;535.95;539.45;584.10;586.25;588.00;588.45;590.75;597.40;605.80;623.90;624.90,515353.9
SUMICHEM.NS,413.82;444.32,453.80;483.70;509.40;509.95;514.50;549.75;551.90;569.00;572.05,252616.95
SUNDARMFIN.NS,4425.53;4618.00,4528.30;4658.00;4660.00;4665.70;4684.50;4790.00;4810.20;4864.80;4965.30;5050.00,51839.6
SUNTV.NS,479.50;490.10;447.45,481.20;482.70;485.50;506.00;511.80;519.80;528.00;529.00;529.70;529.80;531.00;614.00;660.70,901705.6
SUPREMEIND.NS,3538.00;3390.70;3471.57;3140.50;3283.50,3309.30;3538.10;3568.00;3580.30;3603.10;3606.90;3645.00;3646.00;3674.90;3685.70;3710.00;3746.30;3826.50,180857.6
SUZLON.NS,51.47;52.78;46.09,44.22;46.40;47.52;49.30;49.32;53.70;54.51;56.12;58.06;58.42;59.31;60.45,48089332.65
SWANCORP.NS,305.11,307.90;311.00;315.35;316.65;317.20;326.90;336.70;339.00;345.80;363.45;365.80;382.15,3801274.6
SWIGGY.NS,246.78;236.28;270.77,257.85;262.95;270.00;272.30;283.50;284.00;284.68;285.55;293.00;298.85;299.00;305.00,26179921.05
