symbol,levels,resistances,avg_vol_20d
360ONE.NS,1063.30,1093.30;1123.50;1132.00;1134.60;1134.90;1152.00;1154.00;1165.10;1170.00;1191.50;1197.00;1219.80;1222.90,781283.65
3MINDIA.NS,30960.00;34635.00,32060.00;33330.00;33895.00;34275.00;34295.00;34545.00;34840.00;35500.00;36030.00;36660.00;36880.00;37300.00,3567.05
AADHARHFC.NS,484.07;450.67;498.60;461.05,476.00;481.15;486.40;488.00;500.70;506.70;510.45;517.80;523.00;524.45;524.50;542.00;563.00,325717.6
AARTIIND.NS,472.27,501.00;501.40;504.90;510.90;511.95;516.95;523.10;541.70;551.75,772431.55
AAVAS.NS,1348.54;1240.90,1318.00;1416.70;1444.50;1453.20;1468.00;1494.90;1534.90;1540.80;1544.90,132432.15
ABBOTINDIA.NS,25622.86;25175.00;27307.50,26150.00;26365.00;26490.00;26745.00;26770.00;27000.00;28280.00;28635.00;28940.00,7572.8
ABCAPITAL.NS,337.23;384.48,350.75;354.35;363.35;366.30;369.80;375.95;399.35;407.40;410.70;411.40;416.45;430.70,2689110.2
ABDL.NS,610.23;583.90,555.35;564.80;588.00;589.60;600.00;628.80;638.00;643.90;652.60;655.00;711.70,327612.8
ABFRL.NS,57.94;61.39;50.20,55.11;55.28;62.20;62.56;63.84;64.10;66.41;66.60;69.00;69.09,4103633.35
ABLBL.NS,96.78;100.55;94.66;92.56,87.00;87.40;97.40;99.68;100.04;102.54;102.69;102.80;104.74;109.55;110.76;119.55,572843.1
ABREL.NS,1373.12;1327.15,1278.80;1327.90;1367.30;1400.90;1449.00;1452.00;1465.00;1470.00;1471.20;1475.00;1486.00;1570.10;1598.00,196946.25
ABSLAMC.NS,1003.59;983.12;1119.05,1029.30;1045.00;1047.10;1062.00;1082.25;1089.50;1099.25;1123.50;1167.30;1179.70;1203.60;1224.90,218909.35
ACC.NS,1371.10;1405.90;1331.50;1296.50,1289.30;1338.10;1367.60;1374.30;1395.70;1398.80;1405.00;1413.90;1433.50;1451.00;1459.60,113035.3
ACE.NS,850.72;960.73;1068.05,926.25;954.80;966.75;1018.70;1037.90;1047.00;1081.80;1087.50;1149.00;1189.00;1196.00,374687.8
ACMESOLAR.NS,267.18;362.20,307.40;314.40;316.90;364.80;391.05;398.15;398.65;411.50;430.50,2384401.35
ACUTAAS.NS,3355.80;3100.60,2443.00;2468.40;2849.90;3188.10;3328.00;3384.00;3399.80;3444.30;3700.00;3740.00,299418.3
AEGISLOG.NS,1172.20;1227.15,731.00;741.10;754.00;767.50;792.30;1423.50;1434.50;1449.00;1497.80,954268.3
AEGISVOPAK.NS,184.64;262.68,202.58;206.02;213.70;221.00;249.43;280.00;282.80;298.70;299.50;305.07;306.55;311.49,1138372.15
AFCONS.NS,310.57;280.43,287.95;292.00;297.40;313.70;324.90;342.50;346.50;356.45;359.05;366.00,2370413.2
AFFLE.NS,1392.93;1420.53,1460.00;1475.90;1477.50;1518.40;1519.80;1535.00;1544.00;1590.00;1647.70;1669.60;1686.00;1720.10;1748.20,362059.6
AIAENG.NS,4482.75,4049.90;4110.00;4320.00;4535.80;4775.00;4885.90;4912.50;5060.00;5180.00,45488.25
AIIL.NS,505.82;498.77;526.12,514.00;514.40;522.45;534.20;534.65;573.80;579.00;581.60;584.85;607.70,694741.0
AJANTPHARM.NS,2745.05;3277.90,2934.00;3115.00;3178.90;3314.90;3506.90;3550.00;3598.80;3609.00;3666.00;3796.00,69287.35
ALKEM.NS,5177.00;5392.25;5509.25,5406.50;5470.00;5510.00;5511.00;5638.50;5639.00;5673.00;5700.00;5735.00;5735.50;5789.00;5882.50,119761.3
AMBER.NS,6944.50;7355.40;7157.50,7408.00;7557.00;7567.00;7794.00;7809.50;7884.00;8076.00;8095.00;8218.00;8277.50;8974.00,230522.55
ANANDRATHI.NS,1753.75;1712.97;2040.65;2148.20,1809.50;1821.30;1839.90;1849.50;1867.50;1953.60;2114.90;2120.00;2121.20;2176.20;2209.20;2230.00;2235.00;2242.00,196442.0
ANANTRAJ.NS,464.57;512.82;573.67,517.65;526.05;538.80;548.15;564.85;591.25;598.80;627.75;641.70;646.40;649.00,2797600.85
ANGELONE.NS,289.97;320.57;327.32;282.80,305.05;305.45;308.35;323.40;330.23;334.95;349.50;351.00;355.30;356.75;360.45,6241359.05
ANTHEM.NS,752.49;734.08,749.40;767.10;777.00;783.40;785.90;788.85;807.25;814.80;825.65;847.00;899.90;904.00;942.60;977.55,837502.75
ANURAS.NS,1273.35;1342.00;1198.83;1252.00,1224.00;1266.30;1270.80;1273.90;1286.90;1287.00;1294.50;1299.90;1313.90;1368.70;1384.00;1390.00;1396.00;1415.00,268326.0
APARINDS.NS,13297.00,12327.50;12850.00;13024.00;13580.00;14265.00;14685.00;17157.00;17525.00;18075.00;18132.00;18465.00,113656.6
APLAPOLLO.NS,1824.25;1743.27;1786.10;2128.10,1838.70;1842.00;1854.70;1878.50;1943.40;2011.70;2173.00;2278.40;2281.00,650968.25
APOLLOTYRE.NS,400.55;422.14;378.92;410.70,399.00;406.00;418.85;428.75;439.40;439.45;443.90;446.00;449.25;451.00;452.00;461.60;467.40,837933.6
APTUS.NS,253.73;248.55;275.68,261.70;261.80;261.96;267.90;268.80;268.95;274.20;277.95;288.40;293.90;295.00;309.00,1255918.4
ARE&M.NS,793.42;824.85,874.60;877.50;909.90;924.50;929.80;936.50;957.00;1017.30,368671.1
ASAHIINDIA.NS,827.15;870.05,857.35;869.80;879.90;887.20;899.00;905.00;917.00;932.80;940.10;950.35;968.10;974.00,186599.4
ASHOKLEY.NS,148.88;170.67,160.89;162.20;165.70;165.80;167.55;172.80;179.09;181.39;181.84;182.70,11447995.15
ASTERDM.NS,764.31;744.02,692.75;724.50;770.00;775.50;776.55;795.65;801.95;823.95;834.00;836.50;839.40;891.30,5830099.35
ASTRAL.NS,1514.70;1422.77;1484.23;1320.30,1411.80;1504.40;1564.40;1581.00;1583.30;1588.00;1597.80;1600.00;1601.00;1614.80;1661.50,1107264.55
ATGL.NS,695.65;647.58,624.40;649.50;657.75;673.80;677.85;684.90;687.90;742.30;746.40;750.00;770.00;859.85,965777.2
ATHERENERG.NS,869.45,948.00;971.15;982.35;989.40;1069.00;1176.20;1345.00;1580.00;1673.50;1744.00,5033163.5
ATUL.NS,6778.17;6508.00;6394.00,6602.00;6642.50;6659.50;6829.00;6894.00;6900.00;6990.00;7007.00;7029.50;7140.00;7170.00;7180.00,27146.45
AUBANK.NS,1000.00;949.16,1025.00;1052.30;1056.00;1068.80;1079.20;1079.55;1079.90;1090.40;1101.10;1105.90;1144.10,1381989.85
AUROPHARMA.NS,1419.50;1538.90;1610.70,1363.00;1459.50;1481.00;1496.50;1513.40;1550.00;1584.80;1607.50;1636.80;1682.40;1704.00;1717.00,741720.2
AWL.NS,194.01;185.47;179.89,187.49;192.53;194.70;198.60;198.95;199.90;201.50;204.82;211.03;216.01,3269744.5
BAJAJHFL.NS,82.62;85.82,84.98;85.51;85.79;86.39;86.82;87.45;87.95;88.40;89.20;91.38;92.05;93.00;94.00,2754159.05
BALKRISIND.NS,2136.63;1976.05,2209.10;2236.00;2248.90;2268.70;2276.00;2287.00;2300.00;2351.50;2365.00;2385.00;2394.60;2554.50;2558.00,751838.7
BALRAMCHIN.NS,511.05;524.73;637.70,536.40;537.00;552.70;559.90;561.90;563.40;570.00;604.90;641.95;659.15;665.50;738.95;742.00;780.95,7680252.65
BANDHANBNK.NS,169.48;194.17,177.20;178.33;180.74;211.80;212.48;212.66;214.22;218.13;220.76,8082553.75
BANKINDIA.NS,140.47;136.29;134.31,146.09;146.15;146.25;146.40;147.11;147.49;147.90;149.33;151.00;154.34,5184586.35
BATAINDIA.NS,672.50;652.45;694.08,689.25;704.20;708.00;708.80;709.90;715.05;717.50;735.50;747.50;767.95;779.00;803.30,146469.85
BAYERCROP.NS,4180.13;4035.55,4105.00;4297.10;4313.50;4315.00;4355.00;4555.00;4686.80;4832.80;5063.00,16679.95
BBTC.NS,1438.46;1477.65;1520.15,1552.00;1556.00;1558.00;1559.70;1564.80;1567.20;1610.80;1623.90;1639.00,797678.15
