Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
1,M&MFIN,374.35,360.3,3.9,1.51,48.7,100,382.21,353.09,411.33,440.45,469.57,414.0,10.59,"Near support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving, Above 50 DMA, Above 200 DMA"
2,NAUKRI,1292.0,1284.4,0.59,1.76,47.6,90,1300.9,1258.71,1343.08,1385.27,1427.45,1391.0,7.66,"Very close to support, Support rejection, Bullish candle, Volume spike, Above 50 DMA, Above 200 DMA"
3,SJVN,65.87,63.8,3.24,1.59,44.9,90,66.32,62.52,70.12,73.92,77.72,68.1,3.39,"Near support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
4,FEDERALBNK,344.15,337.6,1.94,0.74,45.4,90,346.59,330.85,362.34,378.08,393.82,364.2,5.83,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
5,KFINTECH,925.1,911.7,1.47,0.37,45.6,90,931.51,893.47,969.55,1007.6,1045.64,992.4,7.27,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA"
6,COLPAL,1819.9,1803.7,0.9,0.58,33.1,85,1844.98,1767.63,1922.34,1999.7,2077.05,2019.0,10.94,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
7,CASTROLIND,189.46,184.1,2.91,0.77,58.0,85,190.83,180.42,201.24,211.66,222.07,191.8,1.24,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
8,RADICO,4485.0,4390.0,2.16,0.53,49.6,85,4506.6,4302.2,4710.99,4915.39,5119.78,4747.0,5.84,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
9,PERSISTENT,5560.0,5390.0,3.15,0.7,50.3,85,5611.2,5282.2,5940.2,6269.2,6598.2,5910.0,6.29,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
10,JBMA,615.35,610.25,0.84,0.15,39.3,85,619.24,598.04,640.43,661.62,682.81,685.0,11.32,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
11,3MINDIA,33145.0,32665.0,1.47,0.58,39.1,85,33396.66,32011.7,34781.62,36166.58,37551.54,37300.0,12.54,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
12,IDFCFIRSTB,86.5,82.5,4.85,0.83,56.9,85,87.27,80.85,93.7,100.12,106.55,88.1,1.85,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
13,NTPCGREEN,88.44,87.9,0.61,0.84,35.2,85,88.78,86.14,91.41,94.05,96.68,93.85,6.12,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
14,IGIL,318.1,312.05,1.94,0.64,31.2,85,320.69,305.81,335.57,350.45,365.33,362.55,13.97,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
15,LINDEINDIA,6380.0,6310.0,1.11,3.65,33.8,80,6503.48,6183.8,6823.16,7142.84,7462.52,7189.5,12.69,"Very close to support, Bullish candle, Price recovering, Volume spike, RSI improving"
16,NMDC,84.71,81.05,4.52,0.67,47.9,80,84.95,79.43,90.47,95.99,101.51,89.1,5.18,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
17,STARHEALTH,572.1,551.0,3.83,0.91,48.0,80,575.05,539.98,610.12,645.18,680.25,590.75,3.26,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
18,TRAVELFOOD,1295.5,1251.1,3.55,0.33,46.5,80,1306.61,1226.08,1387.14,1467.67,1548.2,1441.0,11.23,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
19,YESBANK,22.52,21.82,3.21,0.77,47.8,80,22.62,21.38,23.85,25.08,26.31,23.04,2.31,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
20,SAREGAMA,497.1,475.0,4.65,0.6,48.2,80,502.7,465.5,539.91,577.11,614.31,543.3,9.29,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
