Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
1,DOMS,2208.7,2182.0,1.22,2.26,44.9,100,2229.25,2138.36,2320.14,2411.03,2501.92,2279.9,3.22,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
2,CEATLTD,3333.2,3310.1,0.7,1.3,34.0,93,3350.69,3243.9,3457.48,3564.27,3671.06,3824.8,14.75,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving"
3,EXIDEIND,424.35,421.6,0.65,1.03,36.0,90,429.36,413.17,445.55,461.73,477.92,496.4,16.98,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
4,ENDURANCE,2782.8,2735.0,1.75,0.35,40.2,90,2800.59,2680.3,2920.88,3041.17,3161.46,3072.0,10.39,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
5,RVNL,212.49,203.83,4.25,1.57,38.8,90,214.61,199.75,229.46,244.32,259.17,236.76,11.42,"Near support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
6,SCHAEFFLER,3956.4,3944.1,0.31,0.82,38.5,85,4012.61,3865.22,4160.0,4307.39,4454.78,4210.0,6.41,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
7,AUROPHARMA,1653.1,1579.9,4.63,0.68,54.8,85,1664.82,1548.3,1781.34,1897.86,2014.39,1717.0,3.87,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
8,INDUSINDBK,1008.5,963.3,4.69,1.12,50.9,85,1010.62,944.03,1077.2,1143.78,1210.37,1033.9,2.52,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
9,DABUR,380.9,377.45,0.91,1.11,26.9,85,384.02,369.9,398.13,412.25,426.36,414.2,8.74,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
10,UTIAMC,880.55,866.0,1.68,0.48,40.6,85,886.77,848.68,924.86,962.95,1001.04,924.9,5.04,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
11,ARE&M,864.2,858.0,0.72,0.33,36.1,85,870.69,840.84,900.54,930.38,960.23,1017.3,17.72,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
12,UNOMINDA,1249.7,1228.3,1.74,0.79,52.8,80,1262.82,1203.73,1321.91,1380.99,1440.08,1307.5,4.63,"Very close to support, Support rejection, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
13,EIDPARRY,781.35,759.0,2.94,0.28,47.2,80,786.07,743.82,828.32,870.57,912.82,865.4,10.76,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA"
