date,total_entry,total_current,pnl_pct,stocks_held
2026-09-07 10:40,1037.74,1030.22,-0.72,10
2026-09-08 10:42,1037.74,1030.99,-0.65,10
2026-09-09 10:42,1037.74,1019.71,-1.74,10
2026-09-10 14:35,1037.74,1021.73,-1.54,10
2026-09-11 14:34,1037.74,996.15,-4.01,10
2026-09-14 16:27,1037.74,996.15,-4.01,10
2026-09-15 15:11,1037.74,971.3,-6.4,10
2026-09-16 15:08,1037.74,962.18,-7.28,10
2026-09-17 15:11,1037.74,972.87,-6.25,10
2026-09-18 14:37,1037.74,993.57,-4.26,10
2026-09-21 16:34,1037.74,992.7,-4.34,10
2026-09-22 15:08,1037.74,997.58,-3.87,10
2026-09-23 15:10,1037.74,1005.7,-3.09,10
2026-09-24 15:23,1037.74,998.06,-3.82,10
2026-09-25 15:25,1037.74,995.55,-4.07,10
