Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
1,IKS,1792.1,1712.1,4.67,1.53,52.4,95,1852.7,1677.86,2027.54,2202.38,2377.22,1876.2,4.69,"Near support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving, Above 200 DMA"
2,DEEPAKFERT,1357.8,1341.0,1.25,0.84,33.2,90,1366.53,1314.18,1418.88,1471.22,1523.57,1542.1,13.57,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
3,SWANCORP,277.65,273.9,1.37,0.94,22.9,85,280.46,268.42,292.5,304.54,316.57,313.0,12.73,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
4,PETRONET,285.9,273.0,4.73,0.54,48.7,85,289.08,267.54,310.61,332.15,353.69,300.6,5.14,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
5,TIINDIA,2678.3,2626.2,1.98,0.5,37.9,85,2714.02,2573.68,2854.36,2994.7,3135.04,2989.0,11.6,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
6,JSWDULUX,3179.2,3066.0,3.69,2.01,60.4,85,3206.4,3004.68,3408.12,3609.84,3811.56,3214.0,1.09,"Near support, Support rejection, Price recovering, Volume spike, RSI improving, Above 50 DMA, Above 200 DMA"
7,LATENTVIEW,260.15,256.95,1.25,0.9,32.3,85,263.88,251.81,275.94,288.01,300.07,299.1,14.97,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
8,IDBI,81.56,79.05,3.18,1.33,38.3,83,83.64,77.47,89.8,95.97,102.14,96.25,18.01,"Near support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving"
9,TRAVELFOOD,1298.6,1251.1,3.8,0.35,47.3,80,1307.41,1226.08,1388.74,1470.07,1551.4,1441.0,10.97,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
10,BIOCON,395.0,388.65,1.63,3.5,34.7,80,404.76,380.88,428.64,452.52,476.4,430.5,8.99,"Very close to support, Bullish candle, Price recovering, Volume spike, RSI improving"
11,CASTROLIND,189.16,184.1,2.75,1.74,56.8,80,190.28,180.42,200.14,210.0,219.87,191.8,1.4,"Near support, Support rejection, Bullish candle, Volume spike, Above 50 DMA, Above 200 DMA"
12,NATIONALUM,377.6,365.9,3.2,1.5,49.7,80,386.77,358.58,414.96,443.15,471.34,422.2,11.81,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 50 DMA, Above 200 DMA"
13,UBL,1266.7,1245.9,1.67,1.68,28.4,80,1281.56,1220.98,1342.13,1402.71,1463.29,1405.5,10.96,"Very close to support, Bullish candle, Price recovering, Volume spike, RSI improving"
14,ABCAPITAL,400.0,385.1,3.87,0.72,47.3,80,402.85,377.4,428.31,453.77,479.22,416.45,4.11,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
15,COFORGE,1845.0,1762.2,4.7,4.43,48.6,80,1881.36,1726.96,2035.75,2190.15,2344.55,2021.2,9.55,"Near support, Support rejection, Bullish candle, Volume spike, Above 50 DMA, Above 200 DMA"
16,ABDL,604.15,584.3,3.4,1.05,47.1,80,608.72,572.61,644.82,680.92,717.02,643.9,6.58,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
17,JSWINFRA,341.4,326.4,4.6,2.52,56.5,80,344.14,319.87,368.4,392.67,416.93,355.0,3.98,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 50 DMA, Above 200 DMA"
18,POWERINDIA,31580.0,30550.0,3.37,0.98,40.4,80,31653.18,29939.0,33367.36,35081.54,36795.72,36590.0,15.86,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
19,DALBHARAT,1733.6,1671.8,3.7,0.14,38.5,75,1743.48,1638.36,1848.6,1953.71,2058.83,1925.0,11.04,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
20,COROMANDEL,1962.7,1890.0,3.85,0.63,46.7,75,1971.54,1852.2,2090.87,2210.21,2329.54,2112.5,7.63,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
21,GICRE,349.9,341.6,2.43,0.97,41.7,75,354.46,334.77,374.15,393.84,413.53,363.1,3.77,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
22,APTUS,258.28,246.45,4.8,0.94,48.5,75,260.56,241.52,279.6,298.64,317.68,261.96,1.42,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
23,PHOENIXLTD,1885.3,1867.7,0.94,0.81,42.1,75,1919.73,1830.35,2009.12,2098.5,2187.89,1971.0,4.55,"Very close to support, Support rejection, Price recovering, RSI improving, Above 200 DMA"
24,UTIAMC,900.9,866.0,4.03,0.56,52.2,75,905.16,848.68,961.63,1018.11,1074.59,924.9,2.66,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
25,SIGNATURE,786.8,755.4,4.16,0.84,48.1,75,795.69,740.29,851.08,906.48,961.88,824.0,4.73,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
26,HINDPETRO,348.9,346.0,0.84,1.26,30.7,73,351.6,339.08,364.12,376.65,389.17,393.5,12.78,"Very close to support, Bullish candle, Price recovering, Volume increasing, RSI improving"
27,JUBLINGREA,672.75,663.9,1.33,1.36,37.5,73,679.46,650.62,708.29,737.12,765.96,750.75,11.59,"Very close to support, Support rejection, Bullish candle, Volume increasing"
