Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
1,CCL,1044.4,1028.7,1.53,1.86,36.0,100,1055.11,1008.13,1102.09,1149.07,1196.05,1137.0,8.87,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
2,NIVABUPA,77.19,75.97,1.61,1.53,35.1,100,78.31,74.45,82.16,86.02,89.87,83.9,8.69,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
3,CANFINHOME,753.25,740.05,1.78,1.3,33.0,93,759.52,725.25,793.78,828.05,862.32,819.25,8.76,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving"
4,EMMVEE,321.9,315.9,1.9,1.02,45.4,90,324.1,309.58,338.61,353.13,367.64,354.8,10.22,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
5,GROWW,187.06,184.25,1.53,0.35,40.4,90,189.78,180.56,198.99,208.21,217.42,203.7,8.9,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
6,ZYDUSWELL,520.6,512.0,1.68,0.1,43.4,90,525.05,501.76,548.34,571.62,594.91,581.0,11.6,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
7,PNBHOUSING,1094.9,1085.7,0.85,0.44,39.9,90,1104.7,1063.99,1145.42,1186.14,1226.86,1195.0,9.14,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
8,CRISIL,4520.0,4489.0,0.69,0.65,44.3,90,4556.9,4399.22,4714.57,4872.25,5029.92,4872.0,7.79,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
9,BAJAJHFL,83.14,81.71,1.75,1.1,45.5,85,83.77,80.08,87.46,91.15,94.84,86.45,3.98,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
10,APOLLOTYRE,400.1,396.2,0.98,0.49,33.9,85,401.75,388.28,415.23,428.7,442.18,451.0,12.72,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
