Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
1,RAINBOW,1412.6,1400.6,0.86,2.52,39.7,105,1417.83,1372.59,1463.07,1508.31,1553.56,1505.0,6.54,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving, Above 200 DMA"
2,CONCOR,466.3,463.15,0.68,2.19,34.8,100,473.85,453.89,493.8,513.76,533.72,520.75,11.68,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
3,PETRONET,286.6,278.25,3.0,0.72,50.1,85,288.68,272.69,304.67,320.66,336.65,300.6,4.88,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
4,INDUSINDBK,919.5,944.5,-2.65,2.88,30.6,80,930.76,925.61,935.91,941.05,946.2,1017.9,10.7,"Very close to support, Support rejection, Bullish candle, Volume spike"
5,MFSL,1410.0,1423.6,-0.96,10.78,36.2,80,1432.66,1395.13,1470.19,1507.72,1545.25,1591.8,12.89,"Very close to support, Support rejection, Bullish candle, Volume spike"
6,ABREL,1211.8,1196.5,1.28,3.3,30.7,80,1265.43,1172.57,1358.28,1451.14,1543.99,1406.2,16.04,"Very close to support, Bullish candle, Price recovering, Volume spike, RSI improving"
7,ESCORTS,2822.9,2769.4,1.93,4.44,36.1,80,2867.62,2714.01,3021.24,3174.85,3328.46,3105.0,9.99,"Very close to support, Bullish candle, Price recovering, Volume spike, RSI improving"
8,CANHLIFE,151.51,145.65,4.02,3.96,47.6,80,155.19,142.74,167.64,180.1,192.55,162.9,7.52,"Near support, Support rejection, Bullish candle, Volume spike, Above 50 DMA, Above 200 DMA"
9,KARURVYSYA,325.0,318.0,2.2,0.76,41.5,80,328.21,311.64,344.77,361.34,377.9,358.5,10.31,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
10,FEDERALBNK,329.5,325.25,1.31,1.22,35.4,78,333.37,318.75,347.99,362.61,377.23,356.95,8.33,"Very close to support, Support rejection, Bullish candle, Volume increasing, Above 200 DMA"
11,GILLETTE,7118.5,6922.0,2.84,0.83,37.0,75,7159.29,6783.56,7535.02,7910.75,8286.48,7564.0,6.26,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
12,PFIZER,4046.2,3955.5,2.29,0.36,26.0,75,4068.12,3876.39,4259.85,4451.58,4643.31,4819.1,19.1,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
13,STARHEALTH,550.4,531.05,3.64,2.49,43.0,75,556.11,520.43,591.79,627.47,663.15,586.95,6.64,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 200 DMA"
14,ANTHEM,885.6,879.0,0.75,0.42,43.8,75,900.35,861.42,939.27,978.2,1017.13,977.55,10.38,"Very close to support, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
15,KAJARIACER,1221.8,1175.7,3.92,1.42,50.8,73,1241.58,1152.19,1330.97,1420.36,1509.75,1274.5,4.31,"Near support, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 50 DMA, Above 200 DMA"
16,OFSS,10925.0,10801.0,1.15,0.63,37.1,70,11016.99,10584.98,11449.0,11881.01,12313.02,12540.0,14.78,"Very close to support, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
17,NAUKRI,1224.0,1242.8,-1.51,2.26,38.7,70,1260.12,1217.94,1302.29,1344.46,1386.63,1371.7,12.07,"Very close to support, Support rejection, Volume spike, Above 200 DMA"
18,TATATECH,717.75,706.85,1.54,1.04,32.4,70,734.12,692.71,775.52,816.92,858.32,850.0,18.43,"Very close to support, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
