Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
109,CHAMBLFERT,411.45,405.25,1.53,1.37,26.4,58,415.48,397.14,433.81,452.15,470.48,466.15,13.29,"Very close to support, Support rejection, Volume increasing"
110,SWIGGY,267.7,269.75,-0.76,1.23,40.8,58,270.64,264.36,276.93,283.21,289.5,305.0,13.93,"Very close to support, Support rejection, Volume increasing"
111,HDBFS,675.2,657.0,2.77,0.28,41.1,55,678.05,643.86,712.25,746.44,780.63,712.1,5.47,"Near support, Support rejection, Bullish candle"
112,BHARATFORG,2031.8,2005.0,1.34,1.02,43.1,55,2050.19,1964.9,2135.48,2220.78,2306.07,2295.0,12.95,"Very close to support, Support rejection, Above 200 DMA"
113,ASHOKLEY,167.9,168.53,-0.37,1.03,44.5,55,169.63,165.16,174.1,178.57,183.04,182.7,8.81,"Very close to support, Support rejection, Above 50 DMA"
114,BHARTIHEXA,1531.1,1477.8,3.61,0.46,43.8,55,1550.39,1448.24,1652.55,1754.7,1856.85,1647.2,7.58,"Near support, Bullish candle, Price recovering, RSI improving"
115,OLECTRA,1238.9,1242.0,-0.25,0.57,33.2,55,1252.3,1217.16,1287.44,1322.58,1357.72,1421.0,14.7,"Very close to support, Support rejection, Above 200 DMA"
116,HONAUT,35170.0,35045.0,0.36,0.68,31.8,55,35485.83,34344.1,36627.56,37769.29,38911.02,38695.0,10.02,"Very close to support, Support rejection, Above 200 DMA"
117,RAINBOW,1433.0,1409.4,1.67,0.43,42.9,55,1442.88,1381.21,1504.55,1566.22,1627.88,1610.0,12.35,"Very close to support, Support rejection, Above 200 DMA"
118,PAGEIND,36200.0,35100.0,3.13,0.56,41.0,55,36397.65,34398.0,38397.3,40396.95,42396.6,40355.0,11.48,"Near support, Bullish candle, Price recovering, RSI improving"
119,TATACOMM,1710.0,1640.2,4.26,1.96,46.6,55,1736.47,1607.4,1865.54,1994.61,2123.68,1783.8,4.32,"Near support, Support rejection, Volume spike"
