Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
1,BLUEDART,4843.5,4812.2,0.65,0.98,37.7,85,4899.18,4715.96,5082.4,5265.62,5448.85,5280.0,9.01,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
2,SONACOMS,790.0,773.4,2.15,1.01,49.9,85,795.49,757.93,833.04,870.6,908.16,844.0,6.84,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
3,MANKIND,2280.5,2222.0,2.63,1.35,37.6,83,2305.5,2177.56,2433.44,2561.39,2689.33,2458.0,7.78,"Near support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving"
4,RAINBOW,1453.7,1409.4,3.14,0.88,48.7,80,1462.92,1381.21,1544.63,1626.34,1708.04,1485.2,2.17,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
5,CANFINHOME,784.8,768.05,2.18,0.86,38.3,75,790.33,752.69,827.97,865.6,903.24,852.35,8.61,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
6,NIVABUPA,81.5,78.36,4.01,2.23,46.5,75,84.07,76.79,91.34,98.62,105.89,84.5,3.68,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 200 DMA"
7,CEATLTD,3282.5,3247.0,1.09,1.19,31.5,70,3328.64,3182.06,3475.23,3621.81,3768.4,3704.7,12.86,"Very close to support, Support rejection, Price recovering, RSI improving"
8,FIRSTCRY,171.53,166.95,2.74,11.68,28.6,70,190.13,163.61,216.65,243.17,269.69,214.35,24.96,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving"
9,KPITTECH,563.0,545.6,3.19,2.65,40.3,70,582.11,534.69,629.54,676.96,724.38,617.0,9.59,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving"
10,DABUR,384.9,368.05,4.58,4.62,42.8,70,391.73,360.69,422.77,453.82,484.86,408.0,6.0,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving"
11,MPHASIS,2378.0,2273.3,4.61,2.63,47.5,70,2466.02,2227.83,2704.21,2942.4,3180.59,2556.9,7.52,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving"
12,LLOYDSME,1778.8,1766.1,0.72,1.77,37.6,70,1813.52,1730.78,1896.26,1979.0,2061.75,1947.0,9.46,"Very close to support, Support rejection, Volume spike, Above 200 DMA"
13,ZENSARTECH,440.2,421.0,4.56,14.99,37.9,70,480.86,412.58,549.14,617.42,685.7,496.4,12.77,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving"
14,COLPAL,1820.3,1782.1,2.14,1.64,37.3,70,1850.29,1746.46,1954.13,2057.96,2161.8,1981.0,8.83,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving"
15,IKS,1783.0,1712.1,4.14,1.3,51.0,68,1803.6,1677.86,1929.34,2055.08,2180.83,1876.2,5.23,"Near support, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 200 DMA"
16,JSWDULUX,3133.8,3066.7,2.19,2.54,51.6,65,3205.4,3005.37,3405.43,3605.46,3805.49,3214.0,2.56,"Near support, Support rejection, Volume spike, Above 50 DMA, Above 200 DMA"
17,LATENTVIEW,252.9,251.55,0.54,2.03,28.7,65,265.33,246.52,284.14,302.95,321.76,292.0,15.46,"Very close to support, Price recovering, Volume spike, RSI improving"
18,KPRMILL,1120.2,1081.1,3.62,0.84,48.2,65,1131.26,1059.48,1203.04,1274.82,1346.6,1197.9,6.94,"Near support, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
19,TRITURBINE,546.9,552.5,-1.01,2.95,34.5,65,570.79,541.45,600.13,629.47,658.81,604.05,10.45,"Very close to support, Support rejection, Volume spike"
20,ANURAS,1170.4,1192.3,-1.84,1.76,23.0,65,1229.75,1168.45,1291.06,1352.36,1413.66,1273.9,8.84,"Very close to support, Support rejection, Volume spike"
21,CANHLIFE,151.78,145.65,4.21,0.5,49.4,65,153.31,142.74,163.88,174.44,185.01,162.9,7.33,"Near support, Support rejection, Bullish candle, Above 50 DMA, Above 200 DMA"
22,CASTROLIND,187.82,184.1,2.02,1.11,51.5,65,188.63,180.42,196.83,205.04,213.25,191.8,2.12,"Near support, Support rejection, Bullish candle, Above 50 DMA, Above 200 DMA"
23,NAUKRI,1261.5,1244.8,1.34,1.43,42.9,63,1312.62,1219.9,1405.34,1498.05,1590.77,1390.1,10.19,"Very close to support, Price recovering, Volume increasing, RSI improving, Above 200 DMA"
24,ABBOTINDIA,26125.0,25135.0,3.94,1.36,46.9,63,26297.49,24632.3,27962.68,29627.87,31293.06,27800.0,6.41,"Near support, Bullish candle, Price recovering, Volume increasing, RSI improving"
25,ICICIAMC,3065.0,2933.3,4.49,1.22,48.0,63,3121.13,2874.63,3367.63,3614.12,3860.62,3313.5,8.11,"Near support, Bullish candle, Price recovering, Volume increasing, RSI improving"
