Rank,Stock,Price,DeepSupport,SupportGap,RSI,Trend,VolumeX,Score,Entry,SL,T1,T2,T3,DonchianHigh,BreakoutGap,52W_High,52W_Low,Reason
1,GILLETTE,7409.0,7206.0,2.82,32.9,BEARISH,1.1,110,7474.92,6989.82,7960.02,8445.12,8930.22,7930.0,7.03,10740.0,7206.0,"Very close to deep support, Oversold RSI, Support rejection wick, Bullish candle, Price recovering, RSI improving, Pullback into support (bearish trend)"
2,PATANJALI,348.25,328.2,6.11,37.5,BEARISH,0.32,90,349.55,318.35,380.74,411.94,443.13,365.6,4.98,615.0,328.2,"Near deep support, RSI below 40, Support rejection wick, Bullish candle, Price recovering, RSI improving, Pullback into support (bearish trend)"
3,MSUMI,37.92,35.7,6.22,37.4,BEARISH,0.83,90,38.15,34.63,41.66,45.18,48.7,42.22,11.34,53.59,35.7,"Near deep support, RSI below 40, Support rejection wick, Bullish candle, Price recovering, RSI improving, Pullback into support (bearish trend)"
4,SUNTV,463.95,464.05,-0.02,29.4,BEARISH,0.68,80,468.44,450.13,486.74,505.05,523.35,519.8,12.04,660.7,464.05,"Very close to deep support, Deeply oversold RSI, Support rejection wick, Pullback into support (bearish trend)"
5,BLS,238.07,218.9,8.76,38.2,BEARISH,0.32,75,240.47,212.33,268.61,296.74,324.88,282.7,18.75,392.85,218.9,"Near deep support, RSI below 40, Support rejection wick, Price recovering, RSI improving, Pullback into support (bearish trend)"
6,ALKEM,5320.0,5075.0,4.83,37.7,MIXED,1.34,73,5369.22,4922.75,5815.68,6262.15,6708.62,5882.5,10.57,5933.5,5075.0,"Near deep support, RSI below 40, Support rejection wick, Price recovering, Volume increasing, RSI improving"
7,VOLTAS,1217.5,1186.8,2.59,36.0,BEARISH,0.79,70,1238.07,1151.2,1324.95,1411.82,1498.7,1358.0,11.54,1582.5,1186.8,"Very close to deep support, RSI below 40, Price recovering, RSI improving, Pullback into support (bearish trend)"
8,BLUESTARCO,1497.0,1450.0,3.24,37.7,BEARISH,0.2,70,1512.92,1406.5,1619.34,1725.76,1832.18,1737.6,16.07,2040.0,1450.0,"Near deep support, RSI below 40, Bullish candle, Price recovering, RSI improving, Pullback into support (bearish trend)"
9,JWL,247.0,235.65,4.82,37.8,BEARISH,0.84,70,253.41,228.58,278.23,303.06,327.88,269.55,9.13,358.25,235.65,"Near deep support, RSI below 40, Bullish candle, Price recovering, RSI improving, Pullback into support (bearish trend)"
10,ERIS,1312.2,1200.0,9.35,34.5,BEARISH,0.62,60,1335.16,1164.0,1506.33,1677.49,1848.66,1420.0,8.22,1818.8,1200.0,"Near deep support, Oversold RSI, Price recovering, RSI improving, Pullback into support (bearish trend)"
11,WAAREEENER,2624.0,2403.0,9.2,35.4,BEARISH,0.68,55,2655.2,2330.91,2979.49,3303.78,3628.07,2730.0,4.04,3865.0,2403.0,"Near deep support, RSI below 40, Support rejection wick, Pullback into support (bearish trend)"
12,IGL,147.17,141.74,3.83,38.0,BEARISH,0.53,55,149.64,137.49,161.79,173.94,186.09,157.68,7.14,223.5,141.74,"Near deep support, RSI below 40, Support rejection wick, Pullback into support (bearish trend)"
