Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
1,RAMCOCEM,869.75,856.75,1.52,2.03,40.7,100,877.15,839.62,914.69,952.22,989.76,944.0,8.54,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
2,SOBHA,1235.7,1221.0,1.2,2.22,35.0,100,1257.51,1196.58,1318.44,1379.37,1440.3,1350.0,9.25,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
3,ANANDRATHI,2202.5,2145.1,2.68,2.4,58.6,100,2215.32,2102.2,2328.45,2441.57,2554.69,2242.0,1.79,"Near support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving, Above 50 DMA, Above 200 DMA"
4,JSWINFRA,342.45,326.4,4.92,1.32,57.4,93,345.69,319.87,371.51,397.33,423.14,350.75,2.42,"Near support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 50 DMA, Above 200 DMA"
5,ICICIPRULI,471.0,456.9,3.09,1.71,36.0,90,476.1,447.76,504.44,532.78,561.12,525.75,11.62,"Near support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
6,GODREJPROP,1872.0,1855.0,0.92,1.18,34.5,90,1878.55,1817.9,1939.2,1999.85,2060.5,2095.0,11.91,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
7,PRESTIGE,1543.6,1521.8,1.43,0.6,42.1,90,1547.09,1491.36,1602.81,1658.54,1714.26,1651.3,6.98,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
8,HDBFS,677.7,667.5,1.53,0.34,44.7,85,682.21,654.15,710.27,738.34,766.4,712.1,5.08,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
9,JSWDULUX,3179.7,3066.7,3.68,0.4,60.4,85,3206.1,3005.37,3406.83,3607.57,3808.3,3214.0,1.08,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
10,VMM,103.4,102.34,1.04,0.27,40.8,85,103.61,100.29,106.92,110.23,113.55,115.4,11.61,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
11,PAGEIND,35750.0,35100.0,1.85,0.52,41.0,85,35971.8,34398.0,37545.6,39119.4,40693.2,38290.0,7.1,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
12,VOLTAS,1158.5,1136.0,1.98,0.49,35.1,85,1161.22,1113.28,1209.16,1257.09,1305.03,1350.0,16.53,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
13,MFSL,1479.9,1463.0,1.16,0.38,39.8,85,1486.67,1433.74,1539.59,1592.52,1645.45,1604.9,8.45,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
14,CEATLTD,3295.7,3281.0,0.45,0.86,32.0,85,3320.13,3215.38,3424.87,3529.62,3634.37,3756.0,13.97,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
15,HOMEFIRST,1209.4,1151.9,4.99,1.11,54.3,85,1217.23,1128.86,1305.6,1393.96,1482.33,1248.1,3.2,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
16,KAJARIACER,1243.9,1187.0,4.79,0.35,54.5,85,1256.71,1163.26,1350.16,1443.61,1537.05,1275.0,2.5,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
17,360ONE,1094.9,1087.4,0.69,1.04,35.3,85,1106.61,1065.65,1147.57,1188.52,1229.48,1222.9,11.69,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
18,COLPAL,1808.5,1789.8,1.04,0.34,32.9,85,1813.62,1754.0,1873.24,1932.85,1992.47,2002.4,10.72,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
19,SUMICHEM,480.9,477.8,0.65,2.88,31.7,85,486.47,468.24,504.7,522.93,541.15,572.05,18.95,"Very close to support, Support rejection, Bullish candle, Volume spike, Above 200 DMA"
20,LTF,311.3,302.7,2.84,0.98,47.8,80,312.02,296.65,327.4,342.78,358.15,327.3,5.14,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
21,IIFL,607.65,602.25,0.9,0.64,43.8,80,617.73,590.21,645.26,672.79,700.32,705.0,16.02,"Very close to support, Support rejection, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
22,ABDL,611.45,584.3,4.65,0.99,50.2,80,614.93,572.61,657.24,699.55,741.87,643.9,5.31,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
23,POLYCAB,8358.0,8175.0,2.24,0.66,34.2,80,8404.27,8011.5,8797.05,9189.82,9582.6,9445.0,13.01,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
24,DEEPAKNTR,1645.8,1620.1,1.59,1.2,37.9,78,1668.13,1587.7,1748.56,1828.99,1909.42,1820.0,10.58,"Very close to support, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 200 DMA"
25,RADICO,4460.0,4390.0,1.59,0.48,48.1,75,4493.97,4302.2,4685.74,4877.51,5069.28,4747.0,6.43,"Very close to support, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
26,IDBI,81.62,79.05,3.25,0.49,38.5,75,82.55,77.47,87.64,92.73,97.81,96.25,17.92,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
