Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
1,DABUR,380.7,377.6,0.82,1.34,26.6,93,382.31,370.05,394.58,406.84,419.11,415.2,9.06,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving"
2,HONAUT,35265.0,34875.0,1.12,1.0,33.2,90,35586.03,34177.5,36994.56,38403.09,39811.62,38695.0,9.73,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
3,CARBORUNIV,1078.0,1059.1,1.78,0.28,44.3,90,1090.98,1037.92,1144.04,1197.1,1250.16,1207.0,11.97,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
4,BANKINDIA,145.0,139.37,4.04,1.36,55.3,88,146.44,136.58,156.3,166.16,176.02,147.9,2.0,"Near support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 50 DMA"
5,INDIACEM,358.8,354.2,1.3,0.43,33.0,85,363.68,347.12,380.24,396.8,413.36,399.15,11.25,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
6,HOMEFIRST,1201.4,1151.9,4.3,0.95,54.8,85,1220.44,1128.86,1312.01,1403.58,1495.16,1227.9,2.21,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
7,SYRMA,1452.8,1392.6,4.32,0.53,52.4,85,1462.92,1364.75,1561.09,1659.26,1757.44,1543.0,6.21,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
8,DOMS,2207.6,2182.0,1.17,0.78,44.6,85,2220.13,2138.36,2301.9,2383.67,2465.45,2279.9,3.28,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
9,RADICO,4559.0,4390.0,3.85,0.79,56.2,85,4568.12,4302.2,4834.04,5099.95,5365.87,4747.0,4.12,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
10,AFFLE,1519.2,1509.0,0.68,5.4,36.5,85,1543.28,1478.82,1607.74,1672.2,1736.66,1748.2,15.07,"Very close to support, Support rejection, Price recovering, Volume spike, RSI improving"
11,LINDEINDIA,6373.0,6310.0,1.0,0.75,31.9,85,6430.84,6183.8,6677.87,6924.91,7171.94,7206.0,13.07,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
12,LTF,316.9,302.7,4.69,0.68,51.8,85,318.34,296.65,340.02,361.71,383.4,327.3,3.28,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
13,TEGA,1552.8,1524.4,1.86,0.19,39.2,85,1565.02,1493.91,1636.14,1707.25,1778.36,1837.0,18.3,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
14,CANFINHOME,804.95,783.0,2.8,1.23,44.1,83,807.71,767.34,848.08,888.46,928.83,852.35,5.89,"Near support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving"
15,ZENSARTECH,465.45,456.0,2.07,1.37,41.9,83,468.94,446.88,490.99,513.05,535.1,509.95,9.56,"Near support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving"
16,NTPCGREEN,88.73,88.0,0.83,1.83,33.1,80,89.77,86.24,93.3,96.83,100.36,93.85,5.77,"Very close to support, Bullish candle, Price recovering, Volume spike, RSI improving"
17,CAMS,747.4,730.55,2.31,0.99,43.6,80,753.65,715.94,791.37,829.08,866.8,814.55,8.98,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
18,NATIONALUM,374.0,367.5,1.77,0.5,46.7,80,379.26,360.15,398.36,417.47,436.58,422.2,12.89,"Very close to support, Support rejection, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
19,CASTROLIND,186.42,184.1,1.26,0.42,49.1,80,187.32,180.42,194.23,201.14,208.04,195.0,4.6,"Very close to support, Support rejection, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
20,SWIGGY,269.3,264.55,1.8,4.01,42.5,80,275.8,259.26,292.34,308.88,325.43,305.0,13.26,"Very close to support, Bullish candle, Price recovering, Volume spike, RSI improving"
21,FORTIS,917.5,879.1,4.37,0.5,47.1,80,921.84,861.52,982.16,1042.48,1102.81,978.7,6.67,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
22,RAINBOW,1440.8,1409.4,2.23,1.18,44.9,80,1457.81,1381.21,1534.41,1611.01,1687.6,1606.0,11.47,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
23,SJVN,64.98,63.8,1.85,1.66,35.4,80,66.18,62.52,69.84,73.5,77.16,69.44,6.86,"Very close to support, Bullish candle, Price recovering, Volume spike, RSI improving"
24,PREMIERENE,1008.0,973.0,3.6,0.5,45.5,80,1015.23,953.54,1076.91,1138.6,1200.29,1072.4,6.39,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
25,BLUEDART,5028.8,4902.5,2.58,0.36,48.9,80,5059.7,4804.45,5314.95,5570.2,5825.45,5281.0,5.02,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA"
26,POONAWALLA,465.1,450.6,3.22,0.43,44.0,80,468.28,441.59,494.98,521.68,548.37,511.9,10.06,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
27,GRANULES,853.85,816.0,4.64,4.26,54.0,80,875.25,799.68,950.81,1026.38,1101.95,883.0,3.41,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 50 DMA, Above 200 DMA"
28,UCOBANK,24.64,24.3,1.4,2.06,33.2,80,25.14,23.81,26.47,27.79,29.12,26.77,8.64,"Very close to support, Bullish candle, Price recovering, Volume spike, RSI improving"
29,JKCEMENT,5039.5,4951.0,1.79,1.93,33.5,80,5133.75,4851.98,5415.51,5697.28,5979.05,5504.5,9.23,"Very close to support, Bullish candle, Price recovering, Volume spike, RSI improving"
30,ASHOKLEY,169.35,165.02,2.62,0.58,47.1,80,169.69,161.72,177.66,185.63,193.6,182.7,7.88,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA"
31,INDUSINDBK,1004.8,963.3,4.31,1.61,49.8,80,1006.81,944.03,1069.59,1132.36,1195.14,1033.9,2.9,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 50 DMA, Above 200 DMA"
32,HUDCO,181.07,175.13,3.39,2.79,33.6,75,185.06,171.63,198.49,211.92,225.36,204.24,12.8,"Near support, Support rejection, Price recovering, Volume spike, RSI improving"
33,J&KBANK,149.86,144.0,4.07,1.71,44.8,75,152.28,141.12,163.45,174.61,185.78,164.3,9.64,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 200 DMA"
34,TIINDIA,2735.4,2680.5,2.05,0.47,40.0,75,2740.87,2626.89,2854.85,2968.83,3082.81,2989.0,9.27,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
35,HBLENGINE,665.55,648.0,2.71,0.62,39.5,75,671.94,635.04,708.84,745.74,782.64,743.85,11.76,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
36,HSCL,662.0,650.0,1.85,0.33,38.6,75,667.23,637.0,697.46,727.7,757.93,794.5,20.02,"Very close to support, Support rejection, Price recovering, RSI improving, Above 200 DMA"
37,TATACHEM,641.35,624.0,2.78,0.48,42.2,75,647.29,611.52,683.06,718.84,754.61,708.9,10.53,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
38,GODREJPROP,2001.5,1908.9,4.85,2.4,46.5,75,2060.81,1870.72,2250.9,2441.0,2631.09,2120.0,5.92,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 200 DMA"
39,AIAENG,4272.4,4141.0,3.17,2.3,40.1,75,4328.64,4058.18,4599.1,4869.56,5140.02,4885.9,14.36,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 200 DMA"
40,AIIL,519.05,504.85,2.81,0.55,41.7,75,523.19,494.75,551.64,580.08,608.52,607.7,17.08,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
41,BERGEPAINT,491.4,478.75,2.64,0.48,36.6,75,497.99,469.18,526.81,555.63,584.45,565.9,15.16,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
42,GICRE,356.15,347.05,2.62,2.48,49.7,75,360.52,340.11,380.93,401.34,421.75,363.1,1.95,"Near support, Support rejection, Price recovering, Volume spike, RSI improving"
43,INDIANB,888.75,849.3,4.65,1.43,57.0,73,908.51,832.31,984.71,1060.91,1137.11,905.0,1.83,"Near support, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 50 DMA, Above 200 DMA"
44,KEI,5327.0,5132.0,3.8,1.47,45.4,73,5390.76,5029.36,5752.16,6113.56,6474.96,5899.0,10.74,"Near support, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 50 DMA, Above 200 DMA"
45,IRB,19.67,18.76,4.85,3.27,54.4,70,20.08,18.38,21.78,23.47,25.17,20.08,2.08,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving"
46,IOB,33.23,31.83,4.4,2.06,48.5,70,33.47,31.19,35.74,38.01,40.29,35.0,5.33,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving"
47,PFIZER,4643.7,4614.0,0.64,0.2,39.8,70,4704.39,4521.72,4887.06,5069.73,5252.4,5149.0,10.88,"Very close to support, Support rejection, Price recovering, RSI improving"
48,CHOICEIN,768.45,760.0,1.11,0.58,37.5,70,774.35,744.8,803.89,833.44,862.98,854.3,11.17,"Very close to support, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
49,TRITURBINE,571.7,561.05,1.9,0.41,40.1,70,575.05,549.83,600.27,625.49,650.7,654.15,14.42,"Very close to support, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
50,SOBHA,1259.1,1221.0,3.12,1.7,37.1,70,1275.15,1196.58,1353.71,1432.28,1510.84,1378.0,9.44,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving"
51,OLECTRA,1244.8,1226.1,1.53,1.71,34.7,70,1292.28,1201.58,1382.98,1473.68,1564.38,1421.0,14.15,"Very close to support, Price recovering, Volume spike, RSI improving, Above 200 DMA"
52,NHPC,76.45,74.3,2.89,1.71,47.0,70,77.36,72.81,81.91,86.47,91.02,78.57,2.77,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving"
53,ICICIAMC,2980.0,2946.0,1.15,0.78,38.6,70,3017.02,2887.08,3146.96,3276.91,3406.85,3313.5,11.19,"Very close to support, Support rejection, Price recovering, RSI improving"
54,BAJAJHFL,82.95,81.71,1.52,1.01,37.9,70,83.64,80.08,87.2,90.76,94.32,87.1,5.0,"Very close to support, Support rejection, Price recovering, RSI improving"
55,HAVELLS,1200.0,1183.0,1.44,0.58,35.9,70,1207.71,1159.34,1256.08,1304.45,1352.82,1315.0,9.58,"Very close to support, Support rejection, Price recovering, RSI improving"
56,GODFRYPHLP,2045.0,2025.4,0.97,0.62,39.0,70,2059.61,1984.89,2134.33,2209.05,2283.77,2338.3,14.34,"Very close to support, Support rejection, Price recovering, RSI improving"
57,CHAMBLFERT,418.3,405.25,3.22,1.66,35.7,70,424.45,397.14,451.75,479.05,506.35,466.15,11.44,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving"
