Rank,Stock,Price,DeepSupport,SupportGap,RSI,Trend,VolumeX,Score,Entry,SL,T1,T2,T3,DonchianHigh,BreakoutGap,52W_High,52W_Low,Reason
1,GILLETTE,7329.0,7206.0,1.71,29.6,BEARISH,1.11,115,7365.2,6989.82,7740.58,8115.96,8491.34,7776.0,6.1,10740.0,7206.0,"Very close to deep support, Deeply oversold RSI, Support rejection wick, Bullish candle, Price recovering, RSI improving, Pullback into support (bearish trend)"
2,ICICIGI,1566.9,1544.6,1.44,32.8,BEARISH,1.31,103,1570.74,1498.26,1643.21,1715.68,1788.15,1771.0,13.03,2064.9,1544.6,"Very close to deep support, Oversold RSI, Support rejection wick, Price recovering, Volume increasing, RSI improving, Pullback into support (bearish trend)"
3,SJVN,64.71,63.02,2.68,22.6,BEARISH,1.38,103,65.22,61.13,69.31,73.4,77.49,70.43,8.84,100.31,63.02,"Very close to deep support, Deeply oversold RSI, Support rejection wick, Bullish candle, Volume increasing, Pullback into support (bearish trend)"
4,CIEINDIA,391.05,381.1,2.61,28.9,BEARISH,0.71,100,395.79,369.67,421.91,448.04,474.16,423.0,8.17,526.0,381.1,"Very close to deep support, Deeply oversold RSI, Support rejection wick, Price recovering, RSI improving, Pullback into support (bearish trend)"
5,TORNTPOWER,1215.1,1188.0,2.28,23.6,BEARISH,1.7,95,1228.55,1152.36,1304.74,1380.94,1457.13,1423.8,17.18,1824.1,1188.0,"Very close to deep support, Deeply oversold RSI, Support rejection wick, Volume spike, Pullback into support (bearish trend)"
6,ABLBL,86.71,84.24,2.93,38.6,BEARISH,1.27,93,87.17,81.71,92.64,98.1,103.56,96.17,10.91,151.33,84.24,"Very close to deep support, RSI below 40, Bullish candle, Price recovering, Volume increasing, RSI improving, Pullback into support (bearish trend)"
7,CROMPTON,235.9,217.4,8.51,35.3,BEARISH,0.96,90,236.37,210.88,261.87,287.36,312.85,271.0,14.88,337.5,217.4,"Near deep support, RSI below 40, Support rejection wick, Bullish candle, Price recovering, RSI improving, Pullback into support (bearish trend)"
8,SUNTV,466.15,461.0,1.12,36.3,BEARISH,1.73,85,477.25,447.17,507.34,537.42,567.5,516.95,10.9,660.7,461.0,"Very close to deep support, RSI below 40, Support rejection wick, Volume spike, Pullback into support (bearish trend)"
9,VOLTAS,1194.4,1186.8,0.64,32.1,BEARISH,1.3,83,1208.21,1151.2,1265.23,1322.24,1379.26,1358.0,13.7,1582.5,1186.8,"Very close to deep support, Oversold RSI, Support rejection wick, Volume increasing, Pullback into support (bearish trend)"
10,SWANCORP,293.3,295.65,-0.79,32.6,BEARISH,0.89,75,299.9,286.78,313.02,326.13,339.25,316.65,7.96,506.0,295.65,"Very close to deep support, Oversold RSI, Support rejection wick, Pullback into support (bearish trend)"
11,JKCEMENT,5133.0,4671.5,9.88,34.7,BEARISH,1.85,75,5165.31,4531.35,5799.27,6433.22,7067.18,5598.0,9.06,7124.5,4671.5,"Near deep support, Oversold RSI, Support rejection wick, Volume spike, Pullback into support (bearish trend)"
12,INOXWIND,70.37,71.27,-1.26,31.7,BEARISH,0.99,75,71.84,69.13,74.55,77.27,79.98,81.14,15.3,159.3,71.27,"Very close to deep support, Oversold RSI, Support rejection wick, Pullback into support (bearish trend)"
13,WAAREEENER,2605.0,2403.0,8.41,34.5,BEARISH,2.05,75,2642.27,2330.91,2953.64,3265.0,3576.37,2730.0,4.8,3865.0,2403.0,"Near deep support, Oversold RSI, Support rejection wick, Volume spike, Pullback into support (bearish trend)"
14,LEMONTREE,106.25,99.61,6.67,36.4,BEARISH,1.53,70,108.75,96.62,120.87,133.0,145.12,115.68,8.88,180.68,99.61,"Near deep support, RSI below 40, Support rejection wick, Volume spike, Pullback into support (bearish trend)"
15,IEX,120.5,114.6,5.15,36.9,BEARISH,1.28,63,122.06,111.16,132.97,143.87,154.77,133.8,11.04,160.27,114.6,"Near deep support, RSI below 40, Support rejection wick, Volume increasing, Pullback into support (bearish trend)"
16,PATANJALI,345.0,328.2,5.12,34.3,BEARISH,0.71,60,348.25,318.35,378.14,408.03,437.92,365.6,5.97,615.0,328.2,"Near deep support, Oversold RSI, Support rejection wick, Pullback into support (bearish trend)"
17,CENTRALBK,30.22,29.32,3.07,34.7,BEARISH,0.84,60,30.51,28.44,32.58,34.65,36.72,31.73,5.0,40.92,29.32,"Near deep support, Oversold RSI, Support rejection wick, Pullback into support (bearish trend)"
18,RPOWER,22.09,20.17,9.52,36.7,BEARISH,0.57,55,22.49,19.56,25.42,28.35,31.28,25.3,14.53,50.73,20.17,"Near deep support, RSI below 40, Support rejection wick, Pullback into support (bearish trend)"
19,ALKEM,5329.5,5075.0,5.01,39.4,MIXED,0.92,45,5389.26,4922.75,5855.76,6322.27,6788.78,5774.5,8.35,5933.5,5075.0,"Near deep support, RSI below 40, Support rejection wick"
20,AADHARHFC,468.1,430.15,8.82,37.8,MIXED,0.61,45,472.04,417.25,526.84,581.64,636.43,517.8,10.62,563.0,430.15,"Near deep support, RSI below 40, Support rejection wick"
