Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
1,OFSS,10989.0,10900.0,0.82,1.0,37.2,90,11133.22,10682.0,11584.44,12035.67,12486.89,12540.0,14.11,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
2,GODIGIT,241.85,231.65,4.4,3.47,36.3,90,244.09,227.02,261.16,278.23,295.3,265.1,9.61,"Near support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
3,NIVABUPA,80.83,78.36,3.15,1.33,46.7,88,81.66,76.79,86.53,91.4,96.27,84.2,4.17,"Near support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 200 DMA"
4,ASAHIINDIA,965.15,920.0,4.91,0.57,56.0,85,976.65,901.6,1051.7,1126.75,1201.8,995.0,3.09,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
5,GLAXO,2873.6,2755.9,4.27,0.42,52.6,85,2886.66,2700.78,3072.54,3258.42,3444.3,3120.7,8.6,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
6,JSWCEMENT,116.7,115.03,1.45,2.34,28.0,85,118.34,112.73,123.94,129.55,135.16,127.34,9.12,"Very close to support, Support rejection, Price recovering, Volume spike, RSI improving"
7,INDIAMART,1635.2,1622.4,0.79,0.35,35.4,85,1648.29,1589.95,1706.63,1764.97,1823.3,1775.0,8.55,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
8,NMDC,80.2,79.15,1.33,0.71,38.3,85,80.47,77.57,83.37,86.28,89.18,89.1,11.1,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
9,CHAMBLFERT,418.5,401.4,4.26,1.22,44.5,83,420.84,393.37,448.31,475.78,503.24,446.9,6.79,"Near support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving"
10,NAM-INDIA,1159.0,1106.0,4.79,0.54,47.2,80,1167.23,1083.88,1250.58,1333.93,1417.28,1253.1,8.12,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
