Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
1,PREMIERENE,974.2,962.2,1.25,1.44,39.0,98,982.46,942.96,1021.97,1061.47,1100.98,1072.4,10.08,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 200 DMA"
2,SAPPHIRE,225.74,223.15,1.16,0.53,50.7,95,227.43,218.69,236.18,244.93,253.67,258.78,14.64,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
3,TATACHEM,612.45,600.55,1.98,1.23,35.2,93,617.48,588.54,646.43,675.37,704.31,677.0,10.54,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving"
4,BSOFT,281.65,275.0,2.42,3.85,39.5,90,285.37,269.5,301.24,317.11,332.98,320.4,13.76,"Near support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
5,GODREJIND,1126.8,1120.0,0.61,0.38,36.0,90,1132.26,1097.6,1166.92,1201.58,1236.24,1284.7,14.01,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
6,AUBANK,1058.9,1047.2,1.12,0.75,45.1,90,1063.32,1026.26,1100.39,1137.46,1174.52,1144.1,8.05,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
7,NIVABUPA,79.93,78.86,1.36,0.8,36.1,90,80.52,77.28,83.76,87.0,90.23,84.5,5.72,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
8,PHOENIXLTD,1890.0,1865.2,1.33,1.83,43.1,85,1913.82,1827.9,1999.74,2085.67,2171.59,1971.0,4.29,"Very close to support, Support rejection, Bullish candle, Volume spike, Above 200 DMA"
9,VIJAYA,1502.0,1440.0,4.31,0.73,58.3,85,1520.43,1411.2,1629.67,1738.9,1848.14,1578.0,5.06,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
10,IGIL,314.3,309.3,1.62,0.44,31.7,85,315.63,303.11,328.15,340.66,353.18,362.55,15.35,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
11,PATANJALI,341.0,336.15,1.44,0.86,33.8,85,341.68,329.43,353.94,366.19,378.45,358.6,5.16,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
12,TBOTEK,1679.5,1600.0,4.97,0.75,52.0,85,1690.37,1568.0,1812.75,1935.12,2057.5,1750.0,4.2,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
13,KFINTECH,900.0,897.0,0.33,0.61,39.1,85,906.51,879.06,933.96,961.41,988.86,992.4,10.27,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
14,KAYNES,3505.0,3450.0,1.59,0.53,41.6,85,3557.1,3381.0,3733.2,3909.3,4085.4,4117.9,17.49,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
15,PGEL,545.0,538.5,1.21,0.79,32.8,85,546.09,527.73,564.45,582.81,601.17,615.9,13.01,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
16,NETWEB,5027.0,4860.0,3.44,0.43,49.4,85,5065.11,4762.8,5367.42,5669.73,5972.04,5813.0,15.64,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
17,EIHOTEL,286.45,281.05,1.92,0.44,38.8,85,288.07,275.43,300.72,313.37,326.01,307.95,7.51,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
18,ZFCVINDIA,2548.2,2446.9,4.14,0.5,50.3,85,2565.02,2397.96,2732.08,2899.14,3066.19,2691.0,5.6,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
19,MINDACORP,705.45,685.5,2.91,0.18,48.6,85,709.42,671.79,747.04,784.67,822.29,769.0,9.01,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
20,MRF,128290.0,127545.0,0.58,0.57,37.1,85,129022.53,124994.1,133050.96,137079.39,141107.82,135800.0,5.85,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
21,KPITTECH,553.75,548.75,0.91,0.62,34.8,85,557.06,537.77,576.35,595.64,614.92,625.4,12.94,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
22,AJANTPHARM,3533.4,3425.0,3.16,0.63,50.3,85,3567.12,3356.5,3777.74,3988.36,4198.98,3796.0,7.43,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
23,POONAWALLA,445.25,444.35,0.2,2.0,35.0,85,450.0,435.46,464.53,479.07,493.6,511.9,14.97,"Very close to support, Support rejection, Bullish candle, Volume spike, Above 200 DMA"
24,CDSL,1360.0,1323.3,2.77,0.79,47.0,80,1362.72,1296.83,1428.61,1494.49,1560.38,1445.0,6.25,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
25,POWERINDIA,31435.0,30550.0,2.9,0.6,40.4,80,31578.03,29939.0,33217.06,34856.09,36495.12,36230.0,15.25,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
26,INDIANB,853.5,850.55,0.35,1.57,42.5,80,861.42,833.54,889.3,917.18,945.06,906.7,6.23,"Very close to support, Support rejection, Bullish candle, Volume spike"
27,UBL,1256.1,1245.0,0.89,3.13,26.5,80,1266.03,1220.1,1311.95,1357.88,1403.81,1400.0,11.46,"Very close to support, Support rejection, Bullish candle, Volume spike"
28,TRITURBINE,569.65,555.1,2.62,1.13,42.3,80,573.95,544.0,603.89,633.84,663.79,604.05,6.04,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
29,HSCL,664.9,650.0,2.29,0.19,40.2,80,667.33,637.0,697.66,728.0,758.33,794.5,19.49,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
30,DIXON,13425.0,13355.0,0.52,1.45,35.0,78,13516.98,13087.9,13946.06,14375.14,14804.22,15000.0,11.73,"Very close to support, Support rejection, Bullish candle, Volume increasing, Above 200 DMA"
31,DALBHARAT,1746.6,1671.8,4.47,0.14,40.8,75,1758.51,1638.36,1878.66,1998.8,2118.95,1925.0,10.21,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
32,ELECON,422.1,406.2,3.91,0.44,43.8,75,426.85,398.08,455.63,484.4,513.18,459.3,8.81,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
33,VOLTAS,1165.0,1131.4,2.97,0.78,37.2,75,1171.34,1108.77,1233.9,1296.47,1359.04,1350.0,15.88,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
34,CHAMBLFERT,418.8,405.25,3.34,0.93,38.6,75,420.84,397.14,444.53,468.23,491.92,446.95,6.72,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
35,USHAMART,494.5,477.8,3.5,2.0,46.7,75,502.5,468.24,536.76,571.02,605.28,529.3,7.04,"Near support, Support rejection, Bullish candle, Volume spike, Above 200 DMA"
36,CROMPTON,231.0,226.05,2.19,0.26,37.5,75,232.15,221.53,242.78,253.4,264.03,259.0,12.12,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
37,ICICIPRULI,471.5,455.3,3.56,1.05,36.3,75,476.45,446.19,506.71,536.97,567.22,525.75,11.51,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
38,ICICIAMC,3041.5,2933.3,3.69,0.2,45.5,75,3057.1,2874.63,3239.57,3422.04,3604.51,3313.5,8.94,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
39,PNBHOUSING,1178.9,1125.4,4.75,1.44,59.0,73,1191.98,1102.89,1281.07,1370.15,1459.24,1211.5,2.77,"Near support, Support rejection, Bullish candle, Volume increasing, Above 50 DMA, Above 200 DMA"
