Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
1,PREMIERENE,1013.9,981.3,3.32,2.17,45.9,95,1021.04,961.67,1080.4,1139.77,1199.13,1072.4,5.77,"Near support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving, Above 200 DMA"
2,ALKEM,5355.0,5175.0,3.48,1.78,41.0,90,5417.31,5071.5,5763.13,6108.94,6454.75,5833.0,8.93,"Near support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
3,BELRISE,229.87,227.2,1.18,0.64,42.3,90,232.66,222.66,242.67,252.68,262.69,268.2,16.67,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
4,AIAENG,4234.2,4223.0,0.27,0.66,31.7,90,4269.22,4138.54,4399.9,4530.58,4661.27,4885.9,15.39,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
5,SAREGAMA,492.8,484.3,1.76,0.25,43.6,90,499.95,474.61,525.28,550.62,575.95,574.5,16.58,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
6,INDIACEM,369.75,362.3,2.06,1.82,39.9,90,372.64,355.05,390.23,407.82,425.41,401.7,8.64,"Near support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
7,GABRIEL,1367.6,1330.1,2.82,1.47,44.9,88,1377.75,1303.5,1452.0,1526.25,1600.51,1600.0,16.99,"Near support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 200 DMA"
8,JSL,705.15,696.65,1.22,0.84,41.5,85,708.97,682.72,735.21,761.46,787.71,756.0,7.21,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
9,POLYMED,1733.0,1651.2,4.95,0.97,50.8,85,1744.48,1618.18,1870.79,1997.09,2123.4,1913.7,10.43,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
10,RAMCOCEM,895.65,890.35,0.6,0.72,44.3,85,901.25,872.54,929.95,958.66,987.37,989.3,10.46,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
11,ERIS,1314.8,1304.0,0.83,1.07,35.5,85,1327.75,1277.92,1377.58,1427.41,1477.24,1410.0,7.24,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
12,WAAREEENER,2640.0,2611.0,1.11,1.08,38.8,85,2655.3,2558.78,2751.82,2848.34,2944.86,2730.0,3.41,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
13,HUDCO,183.23,181.79,0.79,0.59,31.5,85,184.64,178.15,191.12,197.61,204.09,205.15,11.96,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
14,LUPIN,2171.5,2144.7,1.25,0.32,30.0,85,2184.16,2101.81,2266.51,2348.87,2431.22,2440.0,12.36,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
15,MANAPPURAM,348.9,336.4,3.72,0.25,47.3,85,351.85,329.67,374.03,396.21,418.39,377.0,8.05,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
16,CCL,1123.1,1075.1,4.46,0.84,47.2,80,1129.15,1053.6,1204.71,1280.27,1355.82,1197.1,6.59,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
17,AEGISVOPAK,269.9,258.3,4.49,0.65,47.6,80,272.99,253.13,292.86,312.72,332.58,306.55,13.58,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
18,AAVAS,1275.5,1257.9,1.4,3.13,30.2,80,1336.47,1232.74,1440.19,1543.92,1647.64,1453.2,13.93,"Very close to support, Bullish candle, Price recovering, Volume spike, RSI improving"
19,POLYCAB,9088.0,8906.0,2.04,0.99,47.1,80,9121.21,8727.88,9514.53,9907.86,10301.18,9395.0,3.38,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
20,EXIDEIND,444.6,435.15,2.17,1.73,45.2,80,458.82,426.45,491.18,523.55,555.92,496.4,11.65,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 50 DMA, Above 200 DMA"
21,CONCOR,516.0,493.05,4.65,2.67,53.1,80,521.04,483.19,558.89,596.74,634.59,543.7,5.37,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 50 DMA, Above 200 DMA"
22,GODREJIND,1167.5,1125.1,3.77,0.55,36.9,80,1178.05,1102.6,1253.5,1328.96,1404.41,1352.9,15.88,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
23,RAINBOW,1442.8,1409.4,2.37,0.67,42.5,80,1460.72,1381.21,1540.22,1619.72,1699.23,1610.0,11.59,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
24,LEMONTREE,108.53,106.51,1.9,2.9,43.7,80,109.02,104.38,113.66,118.29,122.93,115.68,6.59,"Very close to support, Bullish candle, Price recovering, Volume spike, RSI improving"
25,ZENSARTECH,470.6,461.5,1.97,2.41,40.8,80,475.95,452.27,499.63,523.31,546.99,524.7,11.5,"Very close to support, Bullish candle, Price recovering, Volume spike, RSI improving"
26,USHAMART,492.45,477.8,3.07,0.94,47.1,80,499.7,468.24,531.15,562.6,594.06,524.8,6.57,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
27,JUBLPHARMA,882.65,847.85,4.1,0.34,39.5,75,896.79,830.89,962.69,1028.58,1094.48,995.0,12.73,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
28,CAMS,762.0,740.2,2.95,2.43,47.4,75,763.52,725.4,801.65,839.78,877.91,830.5,8.99,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 200 DMA"
29,BSOFT,300.9,287.25,4.75,2.6,48.2,75,304.56,281.5,327.61,350.66,373.72,331.0,10.0,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 50 DMA"
30,ELECON,425.25,415.65,2.31,0.65,40.7,75,429.51,407.34,451.68,473.85,496.02,459.3,8.01,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
