timestamp,symbol,signal_type,price,day_low,vol_ratio_day,vol_ratio_spike,bounce_level,entry_low,entry_high,stop_loss,target1,target2,target3
13:33:13,360ONE,VOLUME_SURGE,1114.9,1084.0,4.74,0.0,,,,,,,
13:33:13,ABDL,VOLUME_SURGE,658.0,649.5,5.71,0.0,,,,,,,
13:33:13,APTUS,VOLUME_SURGE,250.14,241.02,2.2,0.0,,,,,,,
13:33:13,BANDHANBNK,VOLUME_SURGE,191.85,187.08,4.4,0.0,,,,,,,
13:33:13,BAYERCROP,VOLUME_SURGE,3775.1,3733.0,4.91,0.0,,,,,,,
13:33:13,BIKAJI,VOLUME_SURGE,591.1,554.0,13.54,0.0,,,,,,,
13:33:13,CCL,VOLUME_SURGE,1040.8,1028.7,1.81,0.0,,,,,,,
13:33:13,CHOLAHLDNG,VOLUME_SURGE,1470.9,1446.0,1.82,0.0,,,,,,,
13:33:13,CIEINDIA,VOLUME_SURGE,386.0,384.85,2.1,0.0,,,,,,,
13:33:13,ELECON,VOLUME_SURGE,458.1,420.5,19.31,0.0,,,,,,,
13:33:13,EMAMILTD,VOLUME_SURGE,399.65,389.75,1.81,0.0,,,,,,,
13:33:13,GABRIEL,VOLUME_SURGE,1426.9,1426.9,2.48,0.0,,,,,,,
13:33:13,GLAXO,VOLUME_SURGE,2870.3,2840.0,2.35,0.0,,,,,,,
13:33:13,GRAVITA,VOLUME_SURGE,1564.0,1556.1,1.83,0.0,,,,,,,
13:33:13,IDFCFIRSTB,VOLUME_SURGE,87.79,86.0,4.16,0.0,,,,,,,
13:33:13,IKS,VOLUME_SURGE,1949.4,1872.3,6.24,0.0,,,,,,,
13:33:13,ITI,VOLUME_SURGE,257.15,252.75,2.04,0.0,,,,,,,
13:33:13,JAINREC,VOLUME_SURGE,304.2,294.1,3.17,0.0,,,,,,,
13:33:13,JBMA,VOLUME_SURGE,601.9,593.5,2.59,0.0,,,,,,,
13:33:13,JKTYRE,VOLUME_SURGE,353.4,349.3,2.13,0.0,,,,,,,
13:33:13,JSWCEMENT,VOLUME_SURGE,118.21,116.86,1.92,0.0,,,,,,,
13:33:13,JSWDULUX,VOLUME_SURGE,3154.9,3138.1,4.08,0.0,,,,,,,
13:33:13,LLOYDSME,VOLUME_SURGE,1888.2,1864.5,2.52,0.0,,,,,,,
13:33:13,MGL,VOLUME_SURGE,1094.5,1070.0,2.39,0.0,,,,,,,
13:33:13,MOTILALOFS,VOLUME_SURGE,1051.1,1009.5,3.12,0.0,,,,,,,
13:33:13,NTPCGREEN,VOLUME_SURGE,95.47,93.8,2.51,0.0,,,,,,,
13:33:13,OLAELEC,VOLUME_SURGE,41.4,38.49,5.77,0.0,,,,,,,
13:33:13,OLECTRA,VOLUME_SURGE,1276.1,1229.0,5.52,0.0,,,,,,,
13:33:13,PFOCUS,VOLUME_SURGE,341.0,333.2,3.83,0.0,,,,,,,
13:33:13,RADICO,VOLUME_SURGE,4590.0,4460.8,2.34,0.0,,,,,,,
13:33:13,RHIM,VOLUME_SURGE,390.55,384.55,14.73,0.0,,,,,,,
13:33:13,SAIL,VOLUME_SURGE,185.1,175.5,2.38,0.0,,,,,,,
13:33:13,SUNTV,VOLUME_SURGE,493.05,486.5,1.85,0.0,,,,,,,
13:33:13,SUZLON,VOLUME_SURGE,42.28,41.67,2.56,0.0,,,,,,,
13:33:13,TRIDENT,VOLUME_SURGE,23.3,22.93,1.92,0.0,,,,,,,
13:33:13,VMM,VOLUME_SURGE,106.76,104.04,2.44,0.0,,,,,,,
13:33:13,WELSPUNLIV,VOLUME_SURGE,221.98,221.73,2.78,0.0,,,,,,,
13:33:13,WOCKPHARMA,VOLUME_SURGE,2319.8,2184.0,3.15,0.0,,,,,,,
