Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
1,HDBFS,685.05,657.0,4.27,1.96,48.3,90,688.52,643.86,733.19,777.85,822.52,712.1,3.95,"Near support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
2,LINDEINDIA,6372.5,6310.0,0.99,0.68,33.2,85,6407.29,6183.8,6630.78,6854.27,7077.76,7189.5,12.82,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
3,AWL,188.27,186.2,1.11,0.41,43.4,85,189.47,182.48,196.46,203.45,210.44,204.82,8.79,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
4,HINDPETRO,356.9,355.4,0.42,0.75,34.0,85,357.61,348.29,366.94,376.26,385.58,396.4,11.07,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
5,SUZLON,45.55,45.03,1.15,0.72,36.1,85,45.64,44.13,47.15,48.66,50.18,49.32,8.28,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
6,EMAMILTD,367.55,361.15,1.77,0.9,34.8,85,371.69,353.93,389.46,407.22,424.99,414.7,12.83,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving"
7,RKFORGE,706.25,689.45,2.44,0.83,49.1,85,712.42,675.66,749.18,785.94,822.7,772.8,9.42,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
8,SAREGAMA,494.3,475.0,4.06,0.84,47.1,80,503.0,465.5,540.51,578.01,615.52,543.3,9.91,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
9,UBL,1291.0,1276.4,1.14,1.79,31.8,80,1307.71,1250.87,1364.55,1421.39,1478.22,1405.5,8.87,"Very close to support, Bullish candle, Price recovering, Volume spike, RSI improving"
10,IKS,1788.0,1712.1,4.43,0.93,51.7,80,1802.6,1677.86,1927.34,2052.08,2176.82,1876.2,4.93,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
11,EXIDEIND,425.75,416.4,2.25,0.68,37.1,80,428.36,408.07,448.64,468.92,489.2,496.4,16.59,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
12,SCHAEFFLER,3999.6,3871.7,3.3,0.49,45.1,80,4033.55,3794.27,4272.84,4512.12,4751.41,4210.0,5.26,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
13,GABRIEL,1363.5,1310.6,4.04,0.51,45.5,80,1376.75,1284.39,1469.11,1561.47,1653.83,1520.0,11.48,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
14,BALKRISIND,2287.1,2241.1,2.05,0.49,44.7,80,2299.59,2196.28,2402.9,2506.21,2609.53,2554.5,11.69,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA"
15,SONACOMS,788.0,773.4,1.89,0.66,50.2,75,792.43,757.93,826.93,861.43,895.93,844.0,7.11,"Very close to support, Support rejection, Bullish candle, Above 50 DMA, Above 200 DMA"
16,ABREL,1377.8,1318.7,4.48,0.3,48.1,75,1386.77,1292.33,1481.21,1575.65,1670.09,1486.0,7.85,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
17,UTIAMC,889.95,866.0,2.77,0.67,46.4,75,894.54,848.68,940.39,986.25,1032.1,924.9,3.93,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
18,RHIM,373.8,361.35,3.45,0.25,43.6,75,375.9,354.12,397.68,419.45,441.23,433.0,15.84,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
19,ICICIAMC,3013.7,2946.0,2.3,0.42,42.2,75,3044.28,2887.08,3201.47,3358.67,3515.87,3313.5,9.95,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
20,FORTIS,910.0,879.1,3.51,0.69,44.9,75,913.32,861.52,965.13,1016.93,1068.74,978.7,7.55,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
21,ALKEM,5242.5,5130.0,2.19,0.99,37.4,75,5252.98,5027.4,5478.57,5704.15,5929.74,5700.0,8.73,"Near support, Support rejection, Bullish candle, Price recovering, RSI improving"
22,STARHEALTH,565.95,551.0,2.71,2.56,43.6,75,575.15,539.98,610.32,645.48,680.65,590.75,4.38,"Near support, Bullish candle, Price recovering, Volume spike, RSI improving, Above 200 DMA"
23,NAM-INDIA,1195.0,1146.8,4.2,1.26,51.8,73,1198.39,1123.86,1272.92,1347.45,1421.98,1269.5,6.23,"Near support, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 50 DMA, Above 200 DMA"
24,JKTYRE,368.45,363.5,1.36,0.54,35.9,70,370.64,356.23,385.05,399.46,413.87,394.0,6.93,"Very close to support, Support rejection, Price recovering, RSI improving"
25,POWERINDIA,31775.0,31545.0,0.73,0.56,40.4,70,32239.35,30914.1,33564.6,34889.85,36215.1,36590.0,15.15,"Very close to support, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
26,MANKIND,2318.0,2317.0,0.04,0.46,37.6,70,2336.26,2270.66,2401.87,2467.47,2533.07,2485.0,7.2,"Very close to support, Support rejection, Bullish candle, Above 200 DMA"
