Date,Symbol,Signal,BuyPrice,CurrentPrice,Target,StopLoss,PnL%,Status
2026-08-15 02:19,M&M,BREAKOUT BUY,3513.5,3428.3,3584.15,3466.4,-2.42,SL HIT
2026-08-15 02:19,INFY,BREAKOUT BUY,1188.5999755859375,1169.2,1215.69,1170.54,-1.63,SL HIT
2026-08-15 02:19,GRASIM,BREAKOUT BUY,3369.89990234375,3248.7,3518.67,3270.72,-3.6,SL HIT
2026-08-21 06:06,BHEL,BREAKOUT BUY,421.7000122070313,414.0,433.25,414.0,-1.83,SL HIT
2026-08-24 08:06,HAL,BREAKOUT BUY,5099.0,4877.5,5381.81,4910.46,-4.34,SL HIT
2026-08-25 06:06,HEROMOTOCO,BREAKOUT BUY,5901.0,5618.5,6250.26,5668.16,-4.79,SL HIT
2026-08-26 07:37,KOTAKBANK,BREAKOUT BUY,403.0,415.5,413.98,395.68,3.1,TARGET HIT
2026-08-31 05:09,DLF,BREAKOUT BUY,687.4000244140625,666.35,715.54,668.64,-3.06,SL HIT
2026-09-01 05:15,BAJAJ-AUTO,BREAKOUT BUY,11992.0,12417.0,12267.64,11808.24,3.54,TARGET HIT
2026-09-07 05:15,SIEMENS,BREAKOUT BUY,4100.0,3940.0,4296.92,3968.72,-3.9,SL HIT
2026-09-07 05:15,BAJAJ-AUTO,BREAKOUT BUY,12415.0,11785.0,13325.14,11808.24,-5.07,SL HIT
2026-09-10 09:29,BEL,BREAKOUT BUY,412.5499877929688,402.8,425.73,403.76,-2.36,SL HIT
2026-09-10 09:29,INDUSINDBK,BREAKOUT BUY,1012.7999877929688,989.1,1040.85,994.1,-2.34,SL HIT
2026-09-11 09:28,CUMMINSIND,BREAKOUT BUY,5225.0,5087.5,5393.15,5112.9,-2.63,SL HIT
