Date,Symbol,BuyPrice,CurrentPrice,Target,StopLoss,PnL%,Status
2026-08-09 14:24,TCS,2452.7,2452.7,3350.0,2330.06,0.0,HOLDING
2026-08-09 14:24,HCLTECH,1356.6,1356.6,1780.1,1288.77,0.0,HOLDING
2026-08-09 14:24,ASHOKLEY,177.5,177.5,215.42,168.62,0.0,HOLDING
2026-08-09 14:24,SAIL,176.58,176.58,208.45,167.75,0.0,HOLDING
2026-08-09 14:24,PNB,114.81,114.81,135.15,109.07,0.0,HOLDING
2026-08-10 04:39,TCS,2452.7,2458.0,3350.0,2330.06,0.22,HOLDING
2026-08-10 04:39,HCLTECH,1356.6,1358.1,1780.1,1288.77,0.11,HOLDING
2026-08-10 04:39,ASHOKLEY,177.5,177.0,215.42,168.62,-0.28,HOLDING
2026-08-10 04:39,SAIL,176.58,179.08,208.45,167.75,1.42,HOLDING
2026-08-10 04:39,PNB,114.81,114.12,135.15,109.07,-0.6,HOLDING
2026-08-10 06:32,TCS,2452.7,2443.5,3350.0,2330.06,-0.38,HOLDING
2026-08-10 06:32,HCLTECH,1356.6,1360.7,1780.1,1288.77,0.3,HOLDING
2026-08-10 06:32,ASHOKLEY,177.5,176.33,215.42,168.62,-0.66,HOLDING
2026-08-10 06:32,SAIL,176.58,177.52,208.45,167.75,0.53,HOLDING
2026-08-10 06:32,PNB,114.81,114.05,135.15,109.07,-0.66,HOLDING
