Symbol,EntryDate,BuyPrice,Target,StopLoss
HCLTECH,2026-08-09 14:24,1356.6,1780.1,1288.77
SAIL,2026-08-09 14:24,176.58,208.45,167.75
PNB,2026-08-09 14:24,114.81,135.15,109.07
BEML,2026-08-17 06:06,1914.6,2275.75,1818.87
PERSISTENT,2026-09-02 05:13,5660.0,6599.0,5377.0
