Symbol,BuyPrice,Target,Profit%,StopLoss,Score,NextResistance,NextGann,52wHigh,RoomTo52wHigh%,Uptrend,TrendReversed,AboveHMA_Buy,RoomTo52wHigh,BBBounce,GrowthPotential,GannCrossApproach,ResistanceCrossed,CircuitSignal
SIEMENS,4023.1,4425.41,10.0,3821.94,3,4149.4,4032.25,4149.4,3.1,True,False,False,False,False,True,False,True,NEUTRAL
HAL,4806.9,5287.59,10.0,4566.55,3,5149.9,4812.89,5149.9,7.1,True,False,False,False,False,True,False,True,NEUTRAL
AUBANK,1079.7,1187.67,10.0,1025.71,3,1105.9,1080.77,1144.1,6.0,True,False,False,False,False,True,False,True,NEUTRAL
LICI,415.9,457.49,10.0,395.1,3,428.15,420.25,468.48,12.6,False,False,False,True,False,True,False,True,NEUTRAL
IGL,150.08,165.09,10.0,142.58,3,156.73,153.14,223.5,48.9,False,True,False,False,True,False,True,False,NEUTRAL
ADANIGREEN,1263.0,1427.0,13.0,1199.85,2,1427.0,1269.14,1631.5,29.2,False,False,False,True,True,False,False,False,NEUTRAL
TRENT,2882.6,3244.5,12.6,2738.47,2,3244.5,2889.06,5674.0,96.8,False,False,False,False,True,True,False,False,NEUTRAL
COLPAL,1855.7,2086.6,12.4,1762.91,2,2086.6,1859.77,2504.0,34.9,False,False,False,True,True,False,False,False,NEUTRAL
HINDUNILVR,1988.1,2213.0,11.3,1888.69,2,2213.0,1991.39,2750.0,38.3,False,False,False,True,True,False,False,False,NEUTRAL
COALINDIA,403.45,443.8,10.0,383.28,2,436.5,405.02,491.25,21.8,False,False,False,True,True,False,False,False,NEUTRAL
NTPC,326.5,359.15,10.0,310.18,2,353.0,328.52,414.4,26.9,False,False,False,True,True,False,False,False,NEUTRAL
POWERGRID,262.65,288.92,10.0,249.52,2,275.95,264.06,324.95,23.7,False,False,False,True,True,False,False,False,NEUTRAL
ONGC,234.25,257.68,10.0,222.54,2,242.19,236.39,307.5,31.3,False,False,False,True,True,False,False,False,NEUTRAL
IOC,136.88,150.57,10.0,130.04,2,143.99,138.06,188.96,38.0,False,False,False,True,True,False,False,False,NEUTRAL
TATASTEEL,183.25,201.58,10.0,174.09,2,193.3,185.64,224.4,22.5,False,False,False,True,True,False,False,False,NEUTRAL
ADANIPORTS,1646.0,1810.6,10.0,1563.7,2,1704.0,1650.39,1891.1,14.9,False,False,False,True,True,False,False,False,NEUTRAL
ADANIENT,2898.9,3188.79,10.0,2753.95,2,3091.5,2902.52,3245.0,11.9,False,False,False,True,True,False,False,False,NEUTRAL
ASIANPAINT,2583.9,2842.29,10.0,2454.7,2,2762.4,2588.27,2985.7,15.6,False,False,False,True,True,False,False,False,NEUTRAL
CUMMINSIND,5075.5,5583.05,10.0,4821.72,2,5484.0,5076.56,6100.0,20.2,False,False,False,True,True,False,False,False,NEUTRAL
MARICO,834.8,918.28,10.0,793.06,2,867.35,841.0,889.1,6.5,False,False,False,False,True,True,False,False,NEUTRAL
BIOCON,404.0,444.4,10.0,383.8,2,431.75,405.02,447.15,10.7,False,False,False,True,True,False,False,False,NEUTRAL
CANBK,126.16,138.78,10.0,119.85,2,131.2,126.56,162.89,29.1,False,False,False,True,True,False,False,False,NEUTRAL
BANKBARODA,237.56,261.32,10.0,225.68,2,251.4,240.25,325.5,37.0,False,False,False,True,True,False,False,False,NEUTRAL
CHOLAFIN,1821.8,2003.98,10.0,1730.71,2,1875.0,1827.56,1952.5,7.2,True,False,False,False,False,True,False,False,NEUTRAL
SHRIRAMFIN,1070.1,1177.11,10.0,1016.59,2,1153.7,1072.56,1153.7,7.8,False,False,False,False,False,True,False,True,NEUTRAL
SBILIFE,1746.2,1920.82,10.0,1658.89,2,1801.7,1753.52,2132.0,22.1,False,False,False,True,True,False,False,False,NEUTRAL
ICICIPRULI,502.3,552.53,10.0,477.19,2,522.35,506.25,706.8,40.7,False,False,False,False,True,True,False,False,NEUTRAL
MGL,1084.4,1192.84,10.0,1030.18,2,1173.2,1089.0,1378.0,27.1,False,False,False,True,True,False,False,False,NEUTRAL
TATAPOWER,349.85,384.84,10.0,332.36,2,384.2,351.56,464.9,32.9,False,False,False,True,True,False,False,False,NEUTRAL
RECLTD,313.65,371.3,18.4,297.97,1,371.3,315.06,390.5,24.5,False,False,False,True,False,False,False,False,NEUTRAL
LUPIN,2161.5,2474.8,14.5,2053.42,1,2474.8,2162.25,2529.5,17.0,False,False,False,True,False,False,False,False,NEUTRAL
DABUR,385.7,438.0,13.6,366.41,1,438.0,390.06,577.0,49.6,False,False,False,False,True,False,False,False,NEUTRAL
ITC,263.65,292.55,11.0,250.47,1,292.55,264.06,427.0,62.0,False,False,False,False,True,False,False,False,NEUTRAL
HDFCBANK,710.2,781.22,10.0,674.69,1,757.9,715.56,1020.5,43.7,False,False,False,False,True,False,False,False,NEUTRAL
IRFC,83.36,91.7,10.0,79.19,1,90.0,85.56,137.17,64.6,False,False,False,False,True,False,False,False,NEUTRAL
VEDL,278.45,306.3,10.0,264.53,1,286.4,280.56,795.0,185.5,False,False,False,False,False,False,True,False,NEUTRAL
MUTHOOTFIN,2947.3,3242.03,10.0,2799.93,1,3138.7,2956.64,4149.5,40.8,False,False,False,False,False,False,False,True,NEUTRAL
PFC,345.25,431.4,25.0,327.99,0,431.4,346.89,486.5,40.9,False,False,False,False,False,False,False,False,NEUTRAL
IRCTC,482.95,531.25,10.0,458.8,0,510.45,484.0,739.0,53.0,False,False,False,False,False,False,False,False,NEUTRAL
HDFCLIFE,541.9,596.09,10.0,514.8,0,561.95,546.39,803.0,48.2,False,False,False,False,False,False,False,False,NEUTRAL
