Symbol,Date,CMP,Signal,BreakoutStrength%,Target,StopLoss(Midpoint),CircuitSignal
HDFCBANK,2026-09-25,735.6,NEUTRAL,0.0,738.2,734.3,NEUTRAL
SBIN,2026-09-25,983.0,SELL,0.39,969.02,989.99,NEUTRAL
PERSISTENT,2026-09-25,5372.0,NEUTRAL,0.0,5374.2,5370.9,NEUTRAL
COFORGE,2026-09-25,1784.0,SELL,0.04,1759.8,1796.1,NEUTRAL
ASHOKLEY,2026-09-25,159.08,SELL,0.76,154.98,161.13,NEUTRAL
M&M,2026-09-25,3035.0,SELL,0.2,3001.34,3051.83,NEUTRAL
BEL,2026-09-25,393.55,SELL,0.46,387.39,396.63,NEUTRAL
COALINDIA,2026-09-25,426.1,BUY,1.08,438.82,419.74,NEUTRAL
RELIANCE,2026-09-25,1226.0,SELL,0.77,1198.58,1239.71,NEUTRAL
TCS,2026-09-25,2082.0,SELL,0.68,2030.4,2107.8,NEUTRAL
INFY,2026-09-25,1000.2,SELL,2.55,939.12,1030.74,NEUTRAL
ICICIBANK,2026-09-25,1326.8,SELL,0.93,1294.8,1342.8,NEUTRAL
AXISBANK,2026-09-25,1222.4,SELL,0.85,1191.08,1238.06,NEUTRAL
KOTAKBANK,2026-09-25,404.0,SELL,2.08,383.98,414.01,NEUTRAL
LT,2026-09-25,3876.2,SELL,0.02,3847.96,3890.32,NEUTRAL
BAJFINANCE,2026-09-25,996.9,SELL,1.76,949.34,1020.68,NEUTRAL
BAJAJFINSV,2026-09-25,1771.0,SELL,3.28,1634.32,1839.34,NEUTRAL
MARUTI,2026-09-25,12065.0,SELL,0.62,11823.8,12185.6,NEUTRAL
TITAN,2026-09-25,4884.0,NEUTRAL,0.0,4914.7,4868.65,NEUTRAL
SUNPHARMA,2026-09-25,1852.2,NEUTRAL,0.0,1836.82,1859.89,NEUTRAL
DRREDDY,2026-09-25,1201.0,NEUTRAL,0.0,1193.6,1204.7,NEUTRAL
CIPLA,2026-09-25,1399.7,BUY,0.6,1430.04,1384.53,NEUTRAL
DIVISLAB,2026-09-25,9619.5,BUY,1.27,9941.2,9458.65,NEUTRAL
NTPC,2026-09-25,326.6,NEUTRAL,0.0,325.98,326.91,NEUTRAL
POWERGRID,2026-09-25,269.5,BUY,0.29,273.2,267.65,NEUTRAL
ONGC,2026-09-25,235.86,BUY,0.06,237.62,234.98,NEUTRAL
BPCL,2026-09-25,308.5,SELL,0.79,300.56,312.47,NEUTRAL
IOC,2026-09-25,135.7,SELL,0.65,132.98,137.06,NEUTRAL
HINDALCO,2026-09-25,977.0,SELL,0.36,960.36,985.32,NEUTRAL
JSWSTEEL,2026-09-25,1277.0,NEUTRAL,0.0,1274.14,1278.43,NEUTRAL
TATASTEEL,2026-09-25,187.97,BUY,0.13,190.27,186.82,NEUTRAL
ADANIPORTS,2026-09-25,1788.0,NEUTRAL,0.0,1782.34,1790.83,NEUTRAL
ADANIENT,2026-09-25,2916.5,SELL,1.7,2786.0,2981.75,NEUTRAL
ULTRACEMCO,2026-09-25,11155.0,BUY,0.46,11337.0,11064.0,NEUTRAL
GRASIM,2026-09-25,3191.0,BUY,0.13,3224.16,3174.42,NEUTRAL
NESTLEIND,2026-09-25,1362.6,SELL,0.02,1344.88,1371.46,NEUTRAL
BRITANNIA,2026-09-25,4937.5,SELL,0.27,4877.3,4967.6,NEUTRAL
ITC,2026-09-25,269.0,BUY,0.49,273.68,266.66,NEUTRAL
HINDUNILVR,2026-09-25,1942.9,NEUTRAL,0.0,1937.44,1945.63,NEUTRAL
ASIANPAINT,2026-09-25,2444.0,NEUTRAL,0.0,2436.86,2447.57,NEUTRAL
WIPRO,2026-09-25,164.02,SELL,0.05,162.64,164.71,NEUTRAL
HCLTECH,2026-09-25,1258.0,NEUTRAL,0.0,1257.82,1258.09,NEUTRAL
TECHM,2026-09-25,1548.0,NEUTRAL,0.0,1548.78,1547.61,NEUTRAL
BHARTIARTL,2026-09-25,1785.4,SELL,2.2,1689.18,1833.51,NEUTRAL
INDUSINDBK,2026-09-25,912.2,SELL,3.81,832.56,952.02,NEUTRAL
BAJAJ-AUTO,2026-09-25,11281.0,SELL,0.75,11037.6,11402.7,NEUTRAL
EICHERMOT,2026-09-25,7360.0,SELL,1.26,7124.1,7477.95,NEUTRAL
HEROMOTOCO,2026-09-25,5360.0,NEUTRAL,0.0,5346.5,5366.75,NEUTRAL
DLF,2026-09-25,683.0,BUY,2.55,723.76,662.62,NEUTRAL
GODREJPROP,2026-09-25,1700.1,NEUTRAL,0.0,1692.0,1704.15,NEUTRAL
SIEMENS,2026-09-25,3877.0,NEUTRAL,0.0,3892.38,3869.31,NEUTRAL
ABB,2026-09-25,7052.5,SELL,1.56,6757.3,7200.1,NEUTRAL
CUMMINSIND,2026-09-25,4945.0,SELL,1.26,4765.8,5034.6,NEUTRAL
HAL,2026-09-25,4800.0,SELL,0.24,4738.54,4830.73,NEUTRAL
BEML,2026-09-25,2036.5,SELL,2.11,1916.28,2096.61,NEUTRAL
BHEL,2026-09-25,418.95,SELL,1.68,399.45,428.7,NEUTRAL
IRCTC,2026-09-25,458.7,SELL,1.53,438.98,468.56,NEUTRAL
IRFC,2026-09-25,79.95,SELL,0.2,78.97,80.44,NEUTRAL
TRENT,2026-09-25,2669.3,SELL,3.75,2434.62,2786.64,NEUTRAL
VEDL,2026-09-25,266.35,BUY,0.28,270.99,264.03,NEUTRAL
SAIL,2026-09-25,185.0,BUY,2.06,195.66,179.67,NEUTRAL
