Symbol,CMP,Return3M%,Return6M%,Return9M%,Volatility3M,MomentumScore,Rank
HEG,711.15,21.66,28.46,36.73,2.19,13.209,95
NAM-INDIA,1257.6,14.32,28.52,42.41,2.15,13.189,96
SHAILY,3321.3,20.73,58.37,27.89,2.73,13.041,97
THANGAMAYL,5475.5,43.9,56.69,73.21,4.44,13.034,98
WELSPUNLIV,188.51,35.8,36.85,34.29,2.76,12.935,99
GOKULAGRO,242.31,10.77,46.64,17.09,1.92,12.909,100
MCX,3200.8,-3.22,35.56,62.34,2.45,12.878,101
FINCABLES,1270.05,18.82,54.9,63.73,3.59,12.773,102
IPCALAB,1911.3,19.3,28.14,30.48,2.07,12.572,103
GAEL,179.7,10.63,26.88,56.14,2.49,12.542,104
UJJIVANSFB,72.11,30.14,15.9,33.46,2.11,12.535,105
JSFB,584.5,22.14,49.35,27.86,2.65,12.516,106
ZENTEC,1942.8,21.21,46.39,34.38,2.72,12.481,107
VOLTAMP,10753.0,17.22,30.24,30.33,2.08,12.46,108
TI,574.6,25.77,28.7,14.09,1.85,12.341,109
BHARATFORG,2034.8,5.41,15.73,40.7,1.67,12.329,110
BLUEJET,597.9,35.56,65.21,4.66,2.85,12.326,111
HINDCOPPER,572.8,3.02,1.62,75.09,2.17,12.269,112
WELENT,646.25,29.07,28.95,20.59,2.15,12.173,113
THELEELA,547.0,30.32,23.76,28.16,2.26,12.127,114
CARTRADE,3128.0,74.85,54.39,0.86,3.6,12.044,115
MEDANTA,1407.2,13.66,22.89,17.06,1.49,12.031,116
KALYANKJIL,606.0,70.49,49.72,20.21,3.89,12.03,117
ACE,1175.7,32.78,30.9,20.91,2.35,12.001,118
RBLBANK,391.15,13.92,20.06,26.34,1.69,11.897,119
CARBORUNIV,1170.9,10.73,39.24,36.52,2.44,11.807,120
POWERINDIA,34605.0,-2.89,46.82,60.03,2.95,11.746,121
CHENNPETRO,1392.2,36.52,55.3,29.34,3.45,11.717,122
MSTCLTD,703.85,61.4,52.93,39.96,4.41,11.671,123
ASKAUTOLTD,627.75,37.88,43.39,30.89,3.21,11.646,124
GABRIEL,1413.8,26.23,45.39,43.94,3.31,11.623,125
APOLLO,389.8,-5.41,68.45,37.59,2.95,11.364,126
BELRISE,233.2,7.33,27.01,42.19,2.29,11.128,127
IDEA,14.0,-0.99,24.33,37.66,1.83,11.12,128
ELGIEQUIP,638.15,12.37,18.78,26.48,1.74,11.061,129
NAVINFLUOR,8197.0,15.05,31.33,36.55,2.51,11.024,130
PVRINOX,1228.8,25.41,17.66,10.4,1.65,10.803,131
ICIL,439.25,41.6,44.72,37.01,3.81,10.803,132
CONCORDBIO,1553.2,36.39,39.01,7.83,2.61,10.618,133
JSWINFRA,334.8,20.58,29.17,20.74,2.26,10.411,134
GLAXO,2923.3,27.09,13.14,16.05,1.86,10.079,135
STARHEALTH,573.55,9.11,21.1,12.96,1.44,9.975,136
SKIPPER,557.8,11.14,44.45,13.21,2.3,9.97,137
PPLPHARMA,214.47,19.91,31.54,13.09,2.17,9.924,138
GNFC,582.45,12.61,26.29,18.44,1.97,9.727,139
PFOCUS,294.3,21.29,7.66,68.3,3.39,9.558,140
PREMIERENE,1054.6,7.07,38.1,6.09,1.8,9.49,141
COFORGE,1880.7,32.18,38.19,1.87,2.56,9.417,142
NUVAMA,1722.3,14.45,30.75,17.26,2.22,9.378,143
WOCKPHARMA,1891.2,11.23,35.82,42.72,3.21,9.313,144
AVL,604.1,12.6,20.86,15.96,1.77,9.308,145
BBOX,778.0,-20.3,46.92,46.57,2.65,9.213,146
SPARC,197.7,-15.15,49.53,51.24,3.14,9.093,147
KEI,5553.1,5.14,20.54,34.81,2.22,9.083,148
RAINBOW,1444.5,6.61,18.3,10.42,1.3,9.068,149
SCHNEIDER,1242.7,-4.96,46.29,62.59,3.82,9.06,150
CGCL,226.2,19.49,26.71,15.99,2.3,9.022,151
LUMAXTECH,2010.5,24.16,20.75,43.88,3.29,9.004,152
KPIL,1408.9,11.16,25.63,12.58,1.84,8.933,153
IFCI,81.18,26.06,32.17,52.34,4.17,8.839,154
TATATECH,814.45,15.31,35.4,19.81,2.66,8.824,155
SMLMAH,5164.5,33.07,0.61,80.28,4.34,8.747,156
TBOTEK,1691.3,39.18,21.75,5.04,2.52,8.72,157
J&KBANK,149.27,6.03,41.92,37.11,3.25,8.718,158
NAUKRI,1353.2,40.82,19.78,2.14,2.42,8.633,159
VTL,597.25,-0.69,17.19,29.65,1.79,8.585,160
ABCAPITAL,412.5,13.43,18.01,24.75,2.22,8.453,161
CANHLIFE,155.06,11.14,2.31,27.48,1.62,8.435,162
IDFCFIRSTB,86.41,23.06,4.13,9.48,1.45,8.403,163
GLENMARK,2318.8,-0.78,14.22,25.97,1.57,8.382,164
URBANCO,155.56,26.1,31.53,7.83,2.6,8.38,165
VMART,806.0,22.34,31.51,-3.15,2.03,8.327,166
MANAPPURAM,357.8,9.87,15.36,27.63,2.12,8.317,167
YATHARTH,851.15,4.26,22.49,10.32,1.49,8.316,168
MAHABANK,80.99,-0.22,17.39,32.47,2.0,8.281,169
DIXON,14669.0,25.67,30.54,-4.21,2.09,8.275,170
OBEROIRLTY,1907.2,14.92,21.94,9.28,1.86,8.272,171
WEWORK,690.0,20.29,23.69,12.23,2.27,8.264,172
THYROCARE,567.0,12.89,39.07,11.53,2.59,8.163,173
CREDITACC,1497.4,17.48,19.06,12.71,2.05,8.011,174
LLOYDSENT,78.32,9.81,33.49,23.57,2.85,7.815,175
ENDURANCE,2994.7,6.91,20.87,9.43,1.59,7.802,176
MARICO,848.1,2.87,9.49,12.12,1.05,7.751,177
SUDARSCHEM,1197.7,14.73,30.24,14.82,2.58,7.717,178
SUMICHEM,547.2,14.32,32.21,19.45,2.89,7.615,179
