Symbol,CMP,Return3M%,Return6M%,Return9M%,Volatility3M,MomentumScore,Rank
MAHSCOOTER,13144.0,5.45,-5.13,-11.64,2.23,-1.69,404
NSLNISP,40.03,-11.46,2.83,-4.42,2.57,-1.693,405
SARDAEN,513.45,-9.66,0.24,0.84,1.68,-1.7,406
SAMHI,159.5,6.28,-3.53,-15.76,2.35,-1.843,407
FORTIS,906.55,-5.61,-0.07,-2.32,1.41,-1.894,408
AMBER,7328.5,-1.78,-7.16,-1.11,1.75,-1.912,409
SAMMAANCAP,151.33,-9.77,-0.04,-3.62,2.19,-2.044,410
GPPL,163.89,5.46,-8.09,-5.73,1.36,-2.045,411
ELECTCAST,73.14,-10.95,2.67,-4.85,2.14,-2.05,412
LICI,421.7,-1.35,-2.41,-7.15,1.75,-2.082,413
NEWGEN,525.7,20.6,-1.1,-42.92,3.71,-2.102,414
APOLLOTYRE,438.35,12.87,-7.74,-16.13,1.74,-2.108,415
LTTS,3595.2,1.38,2.87,-19.03,2.33,-2.117,416
SAGILITY,43.44,4.1,-4.53,-12.58,1.99,-2.178,417
FSL,273.8,-2.32,5.33,-25.44,3.24,-2.304,418
JMFINANCIL,130.33,-1.65,-5.63,-9.79,2.46,-2.308,419
NATCOPHARM,886.2,-24.45,-0.48,6.75,2.56,-2.367,420
GODREJAGRO,577.3,-1.2,-9.93,1.07,1.39,-2.413,421
EMBDL,64.29,2.26,1.53,-22.43,2.55,-2.432,422
NUVOCO,322.45,-0.52,-6.86,-11.55,2.55,-2.477,423
DALBHARAT,1894.6,3.95,-10.33,-4.84,1.5,-2.5,424
DBL,416.05,-3.22,-3.38,-10.71,2.3,-2.51,425
HEXT,547.55,8.18,-4.23,-22.08,2.39,-2.526,426
ALKEM,5353.5,-0.87,-2.02,-6.29,1.19,-2.574,427
REDTAPE,123.77,-7.68,-3.84,-5.94,2.25,-2.58,428
SUNDARMFIN,4525.0,0.7,-13.49,-2.75,2.0,-2.592,429
PAGEIND,35575.0,-9.83,6.43,-10.54,1.75,-2.662,430
KAYNES,3809.0,15.46,-1.79,-36.17,2.79,-2.692,431
VAIBHAVGBL,226.15,-0.59,-8.47,-10.04,2.27,-2.803,432
AAVAS,1358.4,-2.76,4.28,-18.73,2.02,-2.834,433
COROMANDEL,2008.3,8.74,-13.1,-11.31,1.83,-2.852,434
BHARTIHEXA,1592.5,2.21,-5.23,-13.27,1.89,-2.871,435
JSL,708.8,-3.78,-4.25,-5.62,1.58,-2.876,436
3MINDIA,33630.0,0.95,-6.83,-6.35,1.4,-2.911,437
NCC,149.89,2.54,-1.49,-17.57,1.85,-2.98,438
SUBROS,740.45,2.0,-7.76,-17.96,2.63,-3.007,439
TSFINV,418.15,3.34,-1.18,-22.2,2.21,-3.024,440
BLS,272.62,1.33,-2.18,-15.55,1.79,-3.051,441
SRF,2578.2,-2.32,-6.0,-8.46,1.81,-3.098,442
BANKINDIA,143.84,-0.79,-14.97,-2.63,1.93,-3.182,443
WEBELSOLAR,83.61,-25.96,28.99,-26.53,2.44,-3.205,444
IEX,124.03,-2.7,0.13,-13.34,1.61,-3.289,445
BANCOINDIA,626.4,0.26,-4.66,-19.47,2.37,-3.358,446
SWSOLAR,195.0,-1.04,-9.01,-14.57,2.41,-3.399,447
TRIVENI,296.78,-21.38,-21.97,-17.85,5.98,-3.414,448
NTPCGREEN,92.2,-10.52,1.87,-5.44,1.36,-3.453,449
DCMSHRIRAM,1086.0,-2.33,-1.88,-10.32,1.4,-3.454,450
SBFC,93.8,2.88,-3.33,-14.36,1.42,-3.469,451
COCHINSHIP,1480.2,-3.01,-2.76,-14.18,1.9,-3.498,452
TIMKEN,3096.1,-14.5,-2.1,-0.07,1.56,-3.557,453
CROMPTON,255.25,-11.69,-4.01,-5.46,1.96,-3.598,454
ADVENZYMES,303.3,-19.52,0.98,-7.57,2.38,-3.664,455
ARVINDFASN,450.0,-0.22,-6.74,-10.29,1.56,-3.688,456
CANFINHOME,835.1,-2.06,-7.21,-7.91,1.54,-3.725,457
FACT,790.8,-10.45,-1.34,-12.45,2.14,-3.769,458
SANDUMA,200.0,-13.95,-3.86,-3.27,1.86,-3.787,459
MAPMYINDIA,997.0,15.13,-13.64,-41.11,3.46,-3.822,460
CHAMBLFERT,432.65,-6.65,-5.86,-5.38,1.56,-3.827,461
ITI,279.25,-3.96,-2.29,-9.38,1.32,-3.956,462
IDBI,81.89,12.27,-26.12,-20.34,2.88,-3.957,463
PTC,157.14,-18.13,-10.04,-4.18,2.69,-4.011,464
JKCEMENT,5256.5,-3.4,-11.08,-7.89,1.85,-4.025,465
ITCHOTELS,164.96,5.59,-8.69,-21.25,2.0,-4.057,466
INOXGREEN,173.75,-3.66,1.58,-26.24,2.3,-4.1,467
ELECON,445.5,-15.17,4.84,-16.33,2.17,-4.102,468
JAIBALAJI,65.31,-10.4,-2.42,-16.0,2.31,-4.164,469
PURVA,215.56,-6.23,-7.87,-14.44,2.27,-4.189,470
SURYAROSNI,220.0,-5.42,-1.52,-16.65,1.86,-4.234,471
PNCINFRA,208.04,-3.38,-4.88,-21.02,2.3,-4.237,472
SUZLON,46.95,-13.98,3.76,-17.2,2.15,-4.244,473
SWIGGY,277.55,9.31,-15.03,-29.82,2.75,-4.313,474
TEXRAIL,105.47,-3.17,-5.91,-19.78,2.21,-4.347,475
ANUP,1837.0,-7.11,-2.47,-24.93,2.64,-4.359,476
IXIGO,170.65,-0.3,-9.74,-36.25,3.54,-4.362,477
MASTEK,1675.1,0.31,-2.76,-27.22,2.23,-4.442,478
BLUEDART,5082.0,4.75,-11.92,-15.08,1.66,-4.461,479
DOMS,2215.1,0.51,-6.47,-14.79,1.53,-4.518,480
CIEINDIA,404.4,-11.55,-11.76,-4.81,2.07,-4.527,481
FORCEMOT,17863.0,-9.93,-26.0,2.03,2.49,-4.531,482
HEMIPROP,131.3,-9.92,-4.93,-6.71,1.59,-4.535,483
HAVELLS,1268.8,5.4,-11.57,-11.91,1.31,-4.595,484
TRIDENT,24.58,0.53,-5.13,-14.03,1.33,-4.657,485
ZENSARTECH,485.45,-1.54,-16.1,-31.58,3.46,-4.739,486
GICRE,359.75,-5.69,-7.57,-8.57,1.51,-4.813,487
CESC,155.5,-14.95,2.53,-8.44,1.42,-4.882,488
ERIS,1305.8,-2.83,-4.29,-15.78,1.56,-4.886,489
CCAVENUE,14.97,7.16,-20.79,-25.6,2.63,-4.98,490
VIPIND,309.75,0.95,-16.48,-20.76,2.42,-4.995,491
JSLL,508.8,-19.91,-29.11,-28.02,5.07,-5.07,492
CHOLAHLDNG,1574.5,-3.09,-10.39,-16.69,1.98,-5.08,493
MRF,132800.0,4.74,-10.25,-15.49,1.38,-5.088,494
TATACOMM,1665.8,-13.96,0.49,-11.18,1.61,-5.11,495
KANSAINER,202.27,-7.19,-0.57,-18.7,1.73,-5.112,496
GPIL,248.65,-14.67,-8.92,-6.17,1.94,-5.116,497
ESCORTS,3080.0,4.78,-11.0,-13.43,1.24,-5.286,498
BATAINDIA,710.45,2.05,-15.11,-29.79,2.7,-5.289,499
BAJAJELEC,351.75,4.67,-8.51,-29.35,2.09,-5.295,500
RHIM,375.0,-6.98,-20.72,-22.29,3.11,-5.362,501
MFSL,1582.0,-5.83,-14.85,-5.82,1.64,-5.372,502
SANOFICONR,4210.0,-11.09,0.72,-10.49,1.29,-5.374,503
UCOBANK,25.82,1.61,-10.25,-16.84,1.58,-5.387,504
ROUTE,500.85,-2.05,-7.28,-27.72,2.27,-5.438,505
KNRCON,128.04,-3.83,-10.32,-23.23,2.2,-5.655,506
MSUMI,38.51,-2.06,-10.48,-20.83,1.95,-5.691,507
LICHSGFIN,493.5,-9.31,-5.11,-11.05,1.49,-5.71,508
ABBOTINDIA,25940.0,-6.37,-1.97,-12.16,1.19,-5.73,509
CAMPUS,229.11,-2.94,-15.49,-12.97,1.82,-5.766,510
TARC,124.12,-4.97,-19.55,-11.64,2.09,-5.771,511
TATAINVEST,648.05,-6.7,-6.39,-14.62,1.59,-5.828,512
INDIASHLTR,680.5,-13.28,-6.37,-22.19,2.36,-5.919,513
DBREALTY,108.42,-10.35,-11.39,-23.06,2.47,-6.053,514
CYIENT,896.25,-0.6,-11.29,-20.54,1.75,-6.176,515
HBLENGINE,710.2,-11.16,-2.31,-23.72,1.99,-6.23,516
EIHOTEL,303.05,-5.61,-9.02,-20.21,1.86,-6.242,517
WAAREERTL,884.0,-9.59,-1.08,-20.14,1.64,-6.252,518
NBCC,89.32,-6.52,-6.45,-22.99,1.9,-6.325,519
INDIACEM,371.85,-7.22,-14.24,-9.59,1.63,-6.353,520
EIDPARRY,796.7,0.87,-13.07,-22.48,1.81,-6.39,521
BAJAJHFL,85.28,0.27,-3.3,-19.86,1.18,-6.466,522
TECHNOE,999.3,-27.22,-13.23,-15.49,2.88,-6.474,523
ACI,499.1,-8.38,-11.73,-16.43,1.87,-6.522,524
ZAGGLE,200.93,-7.84,-16.82,-47.81,3.6,-6.718,525
SKFINDIA,1580.9,-5.87,-7.91,-19.98,1.66,-6.776,526
FINPIPE,159.05,-8.12,-15.82,-15.42,1.92,-6.826,527
BSOFT,306.25,-5.59,-20.65,-21.23,2.25,-7.027,528
RAMCOCEM,903.1,-1.25,-22.43,-9.22,1.55,-7.074,529
NETWORK18,30.17,-4.25,-20.02,-34.2,2.74,-7.119,530
SHAKTIPUMP,503.75,-1.45,-12.51,-28.22,1.97,-7.141,531
RTNINDIA,30.58,-12.53,-8.14,-32.54,2.46,-7.21,532
GILLETTE,7529.0,-3.57,-13.12,-9.75,1.21,-7.256,533
CENTRALBK,31.31,0.93,-17.78,-18.97,1.64,-7.296,534
BIKAJI,608.3,-6.87,-4.06,-14.86,1.18,-7.318,535
VOLTAS,1225.1,-3.64,-19.01,-13.22,1.62,-7.378,536
JUBLPHARMA,878.3,-12.72,-1.81,-24.21,1.75,-7.392,537
ICICIPRULI,513.1,-2.58,-20.92,-16.43,1.79,-7.434,538
IOB,33.1,-2.04,-9.41,-17.5,1.29,-7.467,539
SOBHA,1301.0,-6.75,-12.53,-17.22,1.61,-7.578,540
AFCONS,279.6,-7.74,-13.52,-28.11,2.15,-7.644,541
SBICARD,642.3,2.16,-19.53,-26.52,1.88,-7.801,542
JKTYRE,377.05,-4.34,-32.39,-16.31,2.25,-7.865,543
VIKRAMSOLR,172.85,-13.5,-19.92,-42.51,3.22,-7.872,544
JAINREC,297.5,-25.5,-21.67,-30.13,3.27,-7.891,545
INTELLECT,682.65,-4.3,-2.12,-40.27,1.95,-7.994,546
ICICIGI,1622.1,-11.18,-15.87,-19.93,1.96,-8.006,547
AHLUCONT,702.0,-12.94,-13.1,-33.38,2.47,-8.032,548
HINDPETRO,365.15,-8.25,-15.93,-23.59,1.98,-8.038,549
CELLO,361.5,-4.99,-22.59,-41.25,2.85,-8.056,550
COLPAL,1890.3,-9.86,-14.23,-13.42,1.54,-8.096,551
TTML,38.07,-11.36,-11.28,-26.05,1.99,-8.138,552
RAILTEL,286.3,-11.65,-12.89,-18.11,1.74,-8.176,553
PRSMJOHNSN,107.87,-9.2,-10.03,-25.84,1.81,-8.278,554
GODFRYPHLP,2115.0,-7.98,-16.19,-28.1,2.08,-8.357,555
SAFARI,1484.8,-2.76,-14.91,-33.74,2.04,-8.389,556
TORNTPOWER,1251.3,-14.79,-16.17,-4.76,1.41,-8.435,557
KSCL,769.85,-16.17,-9.05,-27.98,2.09,-8.47,558
SIGNATURE,801.65,-1.47,-25.02,-27.82,2.14,-8.476,559
CSBBANK,322.3,-10.78,-18.18,-23.72,2.07,-8.492,560
SUNTECK,296.7,-2.29,-26.02,-32.04,2.35,-8.543,561
MEDPLUS,680.85,-24.24,-19.93,-12.85,2.22,-8.548,562
HUDCO,187.15,-9.82,-5.01,-21.13,1.4,-8.551,563
BAYERCROP,4089.9,-6.38,-15.33,-10.27,1.23,-8.677,564
WAAREEENER,2698.0,-12.63,-6.13,-16.9,1.36,-8.729,565
IREDA,115.36,-10.95,-8.24,-21.33,1.54,-8.757,566
NESCO,1040.8,-16.16,-11.53,-17.41,1.7,-8.842,567
BLUESTARCO,1514.5,-8.34,-24.9,-15.63,1.84,-8.853,568
JWL,249.1,-15.93,-14.28,-17.75,1.79,-8.938,569
AWL,189.29,-1.95,-5.25,-31.6,1.44,-8.962,570
RTNPOWER,7.89,-14.15,-10.54,-22.34,1.74,-8.991,571
GHCL,442.75,-0.55,-12.45,-25.46,1.43,-8.996,572
BIRLACORPN,891.7,-11.37,-14.91,-24.39,1.85,-9.122,573
IRB,18.98,-12.37,-7.48,-13.67,1.22,-9.141,574
LEMONTREE,108.39,-7.17,-12.42,-28.21,1.74,-9.142,575
EMAMILTD,402.75,-0.04,-17.91,-22.43,1.46,-9.235,576
GODIGIT,259.6,-15.3,-22.39,-26.35,2.22,-9.601,577
PIIND,2501.5,-12.2,-17.41,-27.28,1.97,-9.604,578
RPOWER,23.19,-13.11,-13.28,-41.02,2.34,-9.609,579
RAYMONDLSL,728.05,2.18,-23.39,-34.76,1.93,-9.671,580
OSWALPUMPS,301.95,-16.26,-15.4,-52.26,2.86,-9.779,581
AURIONPRO,697.95,-15.19,-28.75,-38.48,2.78,-9.865,582
GSFC,158.7,-6.2,-8.98,-17.58,1.1,-9.897,583
INDUSTOWER,376.4,-14.23,-21.21,-6.66,1.4,-9.996,584
SUNTV,473.85,-4.14,-19.55,-15.38,1.28,-10.2,585
AVANTIFEED,855.5,-36.05,-36.48,1.65,2.32,-10.205,586
JYOTHYLAB,203.2,-0.27,-16.63,-34.36,1.67,-10.227,587
GMRP&UI,97.61,-8.68,-13.13,-26.16,1.56,-10.281,588
RCF,118.4,-10.36,-10.17,-20.1,1.3,-10.438,589
UTIAMC,898.4,-6.19,-16.29,-21.81,1.38,-10.714,590
UBL,1331.4,0.6,-17.54,-23.83,1.26,-10.769,591
TRANSRAILL,463.0,-10.81,-18.5,-28.28,1.78,-10.783,592
EUREKAFORB,414.1,-11.11,-20.73,-29.5,1.89,-10.808,593
IRCON,125.78,-10.3,-15.8,-23.87,1.53,-10.891,594
ORIENTCEM,131.46,-3.62,-18.7,-29.46,1.58,-10.931,595
SYNGENE,407.2,-12.48,-7.07,-35.83,1.63,-11.303,596
VMM,104.1,-14.02,-12.24,-23.09,1.45,-11.341,597
KPITTECH,590.35,-24.77,-30.34,-50.66,3.11,-11.349,598
IGL,148.92,-10.29,-11.33,-27.02,1.41,-11.472,599
SHARDACROP,767.0,-19.08,-38.66,-0.56,1.67,-11.633,600
INOXWIND,74.54,-22.53,-22.88,-46.02,2.62,-11.637,601
ABFRL,54.88,-18.53,-23.57,-29.7,2.06,-11.64,602
TATAELXSI,3674.2,-15.26,-24.08,-31.53,2.03,-11.651,603
LATENTVIEW,279.85,-13.1,-28.75,-43.38,2.42,-11.741,604
MOIL,254.85,-15.5,-15.56,-23.25,1.53,-11.843,605
UPL,569.15,-13.11,-25.61,-24.47,1.76,-11.992,606
SJVN,66.4,-10.01,-11.63,-18.87,1.12,-12.012,607
CMSINFO,250.55,-19.32,-21.67,-29.84,1.96,-12.024,608
ASHOKA,112.65,-8.62,-24.73,-37.9,1.92,-12.373,609
RALLIS,212.38,-16.11,-28.09,-13.95,1.56,-12.426,610
STARCEMENT,193.85,-12.28,-10.83,-17.6,1.09,-12.474,611
FIRSTCRY,197.95,-15.0,-8.42,-38.53,1.64,-12.566,612
TATACHEM,631.85,-19.4,-10.39,-22.84,1.38,-12.715,613
ACC,1307.0,-3.9,-20.28,-28.92,1.37,-12.874,614
NFL,70.45,-9.14,-12.91,-21.8,1.13,-12.957,615
SWANCORP,304.5,-4.2,-26.29,-34.42,1.64,-13.195,616
DABUR,399.35,-10.7,-21.79,-22.84,1.39,-13.297,617
KITEX,125.22,-20.68,-36.13,-41.17,2.42,-13.503,618
RVNL,228.31,-12.1,-25.6,-28.45,1.59,-13.844,619
WHIRLPOOL,767.25,-10.27,-16.02,-35.41,1.48,-13.886,620
ALOKINDS,11.67,-7.89,-21.73,-32.03,1.44,-14.26,621
CRIZAC,171.8,-23.3,-27.46,-38.11,2.08,-14.265,622
INDIAMART,1745.0,-14.01,-19.94,-27.69,1.42,-14.52,623
BBTC,1438.3,-7.0,-21.02,-27.14,1.26,-14.593,624
KPIGREEN,318.45,-27.02,-21.25,-31.12,1.77,-14.929,625
AWFIS,268.4,-25.57,-16.09,-50.93,2.01,-15.382,626
PATANJALI,349.15,-25.47,-35.13,-40.1,2.14,-15.685,627
KEC,430.6,-11.23,-29.05,-44.91,1.79,-15.872,628
ABLBL,86.85,-14.87,-21.4,-37.93,1.56,-15.901,629
HGINFRA,512.55,-14.98,-17.73,-41.02,1.53,-16.053,630
IRCTC,483.85,-10.04,-22.39,-31.37,1.24,-17.127,631
JKLAKSHMI,558.2,-9.18,-22.63,-31.83,1.17,-18.12,632
